Permissible Value	Label	URL
CL:0000108	cholinergic neuron	<http://purl.obolibrary.org/obo/CL_0000108>
CL:0000058	chondroblast	<http://purl.obolibrary.org/obo/CL_0000058>
CL:0000138	chondrocyte	<http://purl.obolibrary.org/obo/CL_0000138>
CL:0007006	chordamesodermal cell	<http://purl.obolibrary.org/obo/CL_0007006>
CL:4040001	chorionic girdle cell	<http://purl.obolibrary.org/obo/CL_4040001>
CL:0002541	chorionic membrane mesenchymal stem cell	<http://purl.obolibrary.org/obo/CL_0002541>
CL:0011101	chorionic trophoblast cell	<http://purl.obolibrary.org/obo/CL_0011101>
CL:4042004	choroid epiplexus macrophage	<http://purl.obolibrary.org/obo/CL_4042004>
CL:4052017	choroid plexus capillary endothelial cell	<http://purl.obolibrary.org/obo/CL_4052017>
CL:0000706	choroid plexus epithelial cell	<http://purl.obolibrary.org/obo/CL_0000706>
CL:0000880	choroid plexus macrophage	<http://purl.obolibrary.org/obo/CL_0000880>
CL:0000348	choroidal cell of the eye	<http://purl.obolibrary.org/obo/CL_0000348>
CL:4030000	choroidal melanocyte	<http://purl.obolibrary.org/obo/CL_4030000>
CL:0000166	chromaffin cell	<http://purl.obolibrary.org/obo/CL_0000166>
CL:1000426	chromaffin cell of adrenal gland	<http://purl.obolibrary.org/obo/CL_1000426>
CL:1000467	chromaffin cell of left ovary	<http://purl.obolibrary.org/obo/CL_1000467>
CL:1000465	chromaffin cell of ovary	<http://purl.obolibrary.org/obo/CL_1000465>
CL:1000424	chromaffin cell of paraaortic body	<http://purl.obolibrary.org/obo/CL_1000424>
CL:1000425	chromaffin cell of paraganglion	<http://purl.obolibrary.org/obo/CL_1000425>
CL:1000466	chromaffin cell of right ovary	<http://purl.obolibrary.org/obo/CL_1000466>
CL:0000637	chromophil cell of anterior pituitary gland	<http://purl.obolibrary.org/obo/CL_0000637>
CL:0000641	chromophobe cell	<http://purl.obolibrary.org/obo/CL_0000641>
CL:1000443	ciliary muscle cell	<http://purl.obolibrary.org/obo/CL_1000443>
CL:0000064	ciliated cell	<http://purl.obolibrary.org/obo/CL_0000064>
CL:0000067	ciliated epithelial cell	<http://purl.obolibrary.org/obo/CL_0000067>
CL:3000000	ciliated epithelial cell of esophagus	<http://purl.obolibrary.org/obo/CL_3000000>
CL:0000847	ciliated olfactory receptor neuron	<http://purl.obolibrary.org/obo/CL_0000847>
CL:0009088	circulating angiogenic cell	<http://purl.obolibrary.org/obo/CL_0009088>
CL:0000080	circulating cell	<http://purl.obolibrary.org/obo/CL_0000080>
CL:0002342	circulating endothelial cell	<http://purl.obolibrary.org/obo/CL_0002342>
CL:0000972	class switched memory B cell	<http://purl.obolibrary.org/obo/CL_0000972>
CL:0000860	classical monocyte	<http://purl.obolibrary.org/obo/CL_0000860>
CL:0002146	clear cell of eccrine sweat gland	<http://purl.obolibrary.org/obo/CL_0002146>
CL:0002147	clear chief cell of parathyroid gland	<http://purl.obolibrary.org/obo/CL_0002147>
CL:0000158	club cell	<http://purl.obolibrary.org/obo/CL_0000158>
CL:4032000	club-like cell of the urethral epithelium	<http://purl.obolibrary.org/obo/CL_4032000>
CL:4023120	cochlea auditory hair cell	<http://purl.obolibrary.org/obo/CL_4023120>
CL:0000589	cochlear inner hair cell	<http://purl.obolibrary.org/obo/CL_0000589>
CL:0000601	cochlear outer hair cell	<http://purl.obolibrary.org/obo/CL_0000601>
CL:0000587	cold sensing thermoreceptor cell	<http://purl.obolibrary.org/obo/CL_0000587>
CL:0000667	collagen secreting cell	<http://purl.obolibrary.org/obo/CL_0000667>
CL:0010016	collar cell	<http://purl.obolibrary.org/obo/CL_0010016>
CL:1001572	colon endothelial cell	<http://purl.obolibrary.org/obo/CL_1001572>
CL:0011108	colon epithelial cell	<http://purl.obolibrary.org/obo/CL_0011108>
CL:1001588	colon glandular cell	<http://purl.obolibrary.org/obo/CL_1001588>
CL:0009039	colon goblet cell	<http://purl.obolibrary.org/obo/CL_0009039>
CL:0009038	colon macrophage	<http://purl.obolibrary.org/obo/CL_0009038>
CL:1000347	colonocyte	<http://purl.obolibrary.org/obo/CL_1000347>
CL:0009085	colony forming unit – Hill cell	<http://purl.obolibrary.org/obo/CL_0009085>
CL:0002152	columnar cell of endocervix	<http://purl.obolibrary.org/obo/CL_0002152>
CL:0000744	columnar chondrocyte	<http://purl.obolibrary.org/obo/CL_0000744>
CL:0000075	columnar/cuboidal epithelial cell	<http://purl.obolibrary.org/obo/CL_0000075>
CL:0000678	commissural neuron	<http://purl.obolibrary.org/obo/CL_0000678>
CL:0009082	committed double negative thymocyte (Homo sapiens)	<http://purl.obolibrary.org/obo/CL_0009082>
CL:0001029	common dendritic progenitor	<http://purl.obolibrary.org/obo/CL_0001029>
CL:0000051	common lymphoid progenitor	<http://purl.obolibrary.org/obo/CL_0000051>
CL:0000049	common myeloid progenitor	<http://purl.obolibrary.org/obo/CL_0000049>
CL:0001059	"common myeloid progenitor, CD34-positive"	<http://purl.obolibrary.org/obo/CL_0001059>
CL:0000752	cone retinal bipolar cell	<http://purl.obolibrary.org/obo/CL_0000752>
CL:2000084	conjunctiva goblet cell	<http://purl.obolibrary.org/obo/CL_2000084>
CL:1000432	conjunctival epithelial cell	<http://purl.obolibrary.org/obo/CL_1000432>
CL:0002320	connective tissue cell	<http://purl.obolibrary.org/obo/CL_0002320>
CL:0000484	connective tissue type mast cell	<http://purl.obolibrary.org/obo/CL_0000484>
CL:0000183	contractile cell	<http://purl.obolibrary.org/obo/CL_0000183>
CL:0000990	conventional dendritic cell	<http://purl.obolibrary.org/obo/CL_0000990>
CL:0000309	copper accumulating cell	<http://purl.obolibrary.org/obo/CL_0000309>
CL:2000095	cord blood hematopoietic stem cell	<http://purl.obolibrary.org/obo/CL_2000095>
CL:0000132	corneal endothelial cell	<http://purl.obolibrary.org/obo/CL_0000132>
CL:0000575	corneal epithelial cell	<http://purl.obolibrary.org/obo/CL_0000575>
CL:0002153	corneocyte	<http://purl.obolibrary.org/obo/CL_0002153>
CL:0000713	corona radiata cell	<http://purl.obolibrary.org/obo/CL_0000713>
CL:0010015	coronet cell	<http://purl.obolibrary.org/obo/CL_0010015>
CL:0002097	cortical cell of adrenal gland	<http://purl.obolibrary.org/obo/CL_0002097>
CL:0001032	cortical granule cell	<http://purl.obolibrary.org/obo/CL_0001032>
CL:4042029	cortical immature neuron	<http://purl.obolibrary.org/obo/CL_4042029>
CL:0008031	cortical interneuron	<http://purl.obolibrary.org/obo/CL_0008031>
CL:0002364	cortical thymic epithelial cell	<http://purl.obolibrary.org/obo/CL_0002364>
CL:0009070	corticomedullary thymic epithelial cell	<http://purl.obolibrary.org/obo/CL_0009070>
CL:4023055	corticothalamic VAL/VM projecting glutamatergic neuron of the primary motor cortex	<http://purl.obolibrary.org/obo/CL_4023055>
CL:4023013	corticothalamic-projecting glutamatergic cortical neuron	<http://purl.obolibrary.org/obo/CL_4023013>
CL:0002309	corticotroph	<http://purl.obolibrary.org/obo/CL_0002309>
CL:0015000	cranial motor neuron	<http://purl.obolibrary.org/obo/CL_0015000>
CL:0008010	cranial somatomotor neuron	<http://purl.obolibrary.org/obo/CL_0008010>
CL:0008013	cranial visceromotor neuron	<http://purl.obolibrary.org/obo/CL_0008013>
CL:0000849	crypt olfactory receptor neuron	<http://purl.obolibrary.org/obo/CL_0000849>
CL:4052008	crypt-bottom fibroblast	<http://purl.obolibrary.org/obo/CL_4052008>
CL:4052009	crypt-top fibroblast	<http://purl.obolibrary.org/obo/CL_4052009>
CL:0000306	crystallin accumulating cell	<http://purl.obolibrary.org/obo/CL_0000306>
CL:4033084	cuboidal granulosa cell	<http://purl.obolibrary.org/obo/CL_4033084>
CL:0000010	cultured cell	<http://purl.obolibrary.org/obo/CL_0000010>
CL:0000711	cumulus cell	<http://purl.obolibrary.org/obo/CL_0000711>
CL:0002487	cutaneous/subcutaneous mechanoreceptor cell	<http://purl.obolibrary.org/obo/CL_0002487>
CL:0000658	cuticle secreting cell	<http://purl.obolibrary.org/obo/CL_0000658>
CL:0005005	cyanoblast	<http://purl.obolibrary.org/obo/CL_0005005>
CL:0000747	cyanophore	<http://purl.obolibrary.org/obo/CL_0000747>
CL:4033068	cycling B cell	<http://purl.obolibrary.org/obo/CL_4033068>
CL:4033075	"cycling CD4-positive, alpha-beta T cell"	<http://purl.obolibrary.org/obo/CL_4033075>
CL:4033074	"cycling CD8-positive, alpha-beta T cell"	<http://purl.obolibrary.org/obo/CL_4033074>
CL:4033069	cycling T cell	<http://purl.obolibrary.org/obo/CL_4033069>
CL:4033077	cycling alveolar macrophage	<http://purl.obolibrary.org/obo/CL_4033077>
CL:4033082	cycling basal cell	<http://purl.obolibrary.org/obo/CL_4033082>
CL:4033070	cycling dendritic cell	<http://purl.obolibrary.org/obo/CL_4033070>
CL:4033079	cycling endothelial cell of lymphatic vessel	<http://purl.obolibrary.org/obo/CL_4033079>
CL:4033072	cycling gamma-delta T cell	<http://purl.obolibrary.org/obo/CL_4033072>
CL:4047002	cycling glial cell	<http://purl.obolibrary.org/obo/CL_4047002>
CL:4033076	cycling macrophage	<http://purl.obolibrary.org/obo/CL_4033076>
CL:4033073	cycling monocyte	<http://purl.obolibrary.org/obo/CL_4033073>
CL:4033078	cycling mononuclear phagocyte	<http://purl.obolibrary.org/obo/CL_4033078>
CL:4033081	cycling myeloid cell	<http://purl.obolibrary.org/obo/CL_4033081>
CL:4033071	cycling natural killer cell	<http://purl.obolibrary.org/obo/CL_4033071>
CL:4047005	cycling neuroblast (sensu Vertebrata)	<http://purl.obolibrary.org/obo/CL_4047005>
CL:4047003	cycling plasma cell	<http://purl.obolibrary.org/obo/CL_4047003>
CL:4033080	cycling pulmonary alveolar type 2 cell	<http://purl.obolibrary.org/obo/CL_4033080>
CL:4047001	cycling stromal cell	<http://purl.obolibrary.org/obo/CL_4047001>
CL:4047004	cycling type EC enteroendocrine cell	<http://purl.obolibrary.org/obo/CL_4047004>
CL:0000910	cytotoxic T cell	<http://purl.obolibrary.org/obo/CL_0000910>
CL:0002142	dark cell of eccrine sweat gland	<http://purl.obolibrary.org/obo/CL_0002142>
CL:0002143	dark chief cell of parathyroid gland	<http://purl.obolibrary.org/obo/CL_0002143>
CL:0002566	dark melanocyte	<http://purl.obolibrary.org/obo/CL_0002566>
CL:2000002	decidual cell	<http://purl.obolibrary.org/obo/CL_2000002>
CL:0002343	"decidual natural killer cell, human"	<http://purl.obolibrary.org/obo/CL_0002343>
CL:0008033	decidual pericyte	<http://purl.obolibrary.org/obo/CL_0008033>
CL:4033088	decidual resident macrophage	<http://purl.obolibrary.org/obo/CL_4033088>
CL:0000473	defensive cell	<http://purl.obolibrary.org/obo/CL_0000473>
CL:0000451	dendritic cell	<http://purl.obolibrary.org/obo/CL_0000451>
CL:0009034	dendritic cell of appendix	<http://purl.obolibrary.org/obo/CL_0009034>
CL:0001056	"dendritic cell, human"	<http://purl.obolibrary.org/obo/CL_0001056>
CL:0000916	dendritic epidermal T cell	<http://purl.obolibrary.org/obo/CL_0000916>
CL:1000377	dense-core granulated cell of epithelium of trachea	<http://purl.obolibrary.org/obo/CL_1000377>
CL:0000345	dental papilla cell	<http://purl.obolibrary.org/obo/CL_0000345>
CL:0002148	dental pulp cell	<http://purl.obolibrary.org/obo/CL_0002148>
CL:4030035	dental pulp stem cell	<http://purl.obolibrary.org/obo/CL_4030035>
CL:2000089	dentate gyrus granule cell	<http://purl.obolibrary.org/obo/CL_2000089>
CL:4023124	dentate gyrus kisspeptin neuron	<http://purl.obolibrary.org/obo/CL_4023124>
CL:4023062	dentate gyrus neuron	<http://purl.obolibrary.org/obo/CL_4023062>
CL:2000087	dentate gyrus of hippocampal formation basket cell	<http://purl.obolibrary.org/obo/CL_2000087>
CL:2000090	dentate gyrus of hippocampal formation stellate cell	<http://purl.obolibrary.org/obo/CL_2000090>
CL:4040006	dermal chromatophore	<http://purl.obolibrary.org/obo/CL_4040006>
CL:0001006	dermal dendritic cell	<http://purl.obolibrary.org/obo/CL_0001006>
CL:0002482	dermal melanocyte	<http://purl.obolibrary.org/obo/CL_0002482>
CL:0011030	dermal microvascular endothelial cell	<http://purl.obolibrary.org/obo/CL_0011030>
CL:2000010	dermis blood vessel endothelial cell	<http://purl.obolibrary.org/obo/CL_2000010>
CL:2000011	dermis lymphatic vessel endothelial cell	<http://purl.obolibrary.org/obo/CL_2000011>
CL:2000041	dermis microvascular lymphatic vessel endothelial cell	<http://purl.obolibrary.org/obo/CL_2000041>
CL:4033044	deuterosomal cell	<http://purl.obolibrary.org/obo/CL_4033044>
CL:4023059	differentiation-committed oligodendrocyte precursor	<http://purl.obolibrary.org/obo/CL_4023059>
CL:4033027	diffuse bipolar 1 cell	<http://purl.obolibrary.org/obo/CL_4033027>
CL:4033028	diffuse bipolar 2 cell	<http://purl.obolibrary.org/obo/CL_4033028>
CL:4033029	diffuse bipolar 3a cell	<http://purl.obolibrary.org/obo/CL_4033029>
CL:4033030	diffuse bipolar 3b cell	<http://purl.obolibrary.org/obo/CL_4033030>
CL:4033031	diffuse bipolar 4 cell	<http://purl.obolibrary.org/obo/CL_4033031>
CL:4033095	diffuse bipolar 4a cell	<http://purl.obolibrary.org/obo/CL_4033095>
CL:4033096	diffuse bipolar 4b cell	<http://purl.obolibrary.org/obo/CL_4033096>
CL:4033085	diffuse bipolar 5 cell	<http://purl.obolibrary.org/obo/CL_4033085>
CL:4033032	diffuse bipolar 6 cell	<http://purl.obolibrary.org/obo/CL_4033032>
CL:0004230	diffuse bistratified amacrine cell	<http://purl.obolibrary.org/obo/CL_0004230>
CL:0004234	diffuse multistratified amacrine cell	<http://purl.obolibrary.org/obo/CL_0004234>
CL:0000470	digestive enzyme secreting cell	<http://purl.obolibrary.org/obo/CL_0000470>
CL:0000415	diploid cell	<http://purl.obolibrary.org/obo/CL_0000415>
CL:4023026	direct pathway medium spiny neuron	<http://purl.obolibrary.org/obo/CL_4023026>
CL:4023119	displaced amacrine cell	<http://purl.obolibrary.org/obo/CL_4023119>
CL:0000661	distal tip cell (sensu Nematoda)	<http://purl.obolibrary.org/obo/CL_0000661>
CL:0011105	dopamanergic interplexiform cell	<http://purl.obolibrary.org/obo/CL_0011105>
CL:0000700	dopaminergic neuron	<http://purl.obolibrary.org/obo/CL_0000700>
CL:0011000	dorsal horn interneuron	<http://purl.obolibrary.org/obo/CL_0011000>
CL:4023159	double bouquet cell	<http://purl.obolibrary.org/obo/CL_4023159>
CL:0011024	double negative T regulatory cell	<http://purl.obolibrary.org/obo/CL_0011024>
CL:0000981	double negative memory B cell	<http://purl.obolibrary.org/obo/CL_0000981>
CL:0002489	double negative thymocyte	<http://purl.obolibrary.org/obo/CL_0002489>
CL:0002428	double-positive blast	<http://purl.obolibrary.org/obo/CL_0002428>
CL:0000809	"double-positive, alpha-beta thymocyte"	<http://purl.obolibrary.org/obo/CL_0000809>
CL:0000068	duct epithelial cell	<http://purl.obolibrary.org/obo/CL_0000068>
CL:1000324	duodenal goblet cell	<http://purl.obolibrary.org/obo/CL_1000324>
CL:1001589	duodenum secretory cell	<http://purl.obolibrary.org/obo/CL_1001589>
CL:4042006	dural macrophage	<http://purl.obolibrary.org/obo/CL_4042006>
CL:4023002	dynamic beta motor neuron	<http://purl.obolibrary.org/obo/CL_4023002>
CL:4023020	dynamic gamma motor neuron	<http://purl.obolibrary.org/obo/CL_4023020>
CL:4023005	dynamic nuclear bag fiber	<http://purl.obolibrary.org/obo/CL_4023005>
CL:0002374	ear hair cell	<http://purl.obolibrary.org/obo/CL_0002374>
CL:0002425	early T lineage precursor	<http://purl.obolibrary.org/obo/CL_0002425>
CL:4047018	early colonocyte	<http://purl.obolibrary.org/obo/CL_4047018>
CL:0000007	early embryonic cell (metazoa)	<http://purl.obolibrary.org/obo/CL_0000007>
CL:4047019	early enterocyte	<http://purl.obolibrary.org/obo/CL_4047019>
CL:0000936	early lymphoid progenitor	<http://purl.obolibrary.org/obo/CL_0000936>
CL:0002046	early pro-B cell	<http://purl.obolibrary.org/obo/CL_0002046>
CL:0002154	early promyelocyte	<http://purl.obolibrary.org/obo/CL_0002154>
CL:4030036	early spermatid	<http://purl.obolibrary.org/obo/CL_4030036>
CL:4030057	eccentric medium spiny neuron	<http://purl.obolibrary.org/obo/CL_4030057>
CL:0000434	eccrine cell	<http://purl.obolibrary.org/obo/CL_0000434>
CL:0000176	ecdysteroid secreting cell	<http://purl.obolibrary.org/obo/CL_0000176>
CL:0002155	echinocyte	<http://purl.obolibrary.org/obo/CL_0002155>
CL:0002077	ecto-epithelial cell	<http://purl.obolibrary.org/obo/CL_0002077>
CL:0002283	ecto-epithelial cell of viscerocranial mucosa	<http://purl.obolibrary.org/obo/CL_0002283>
CL:0000221	ectodermal cell	<http://purl.obolibrary.org/obo/CL_0000221>
CL:0001044	"effector CD4-positive, alpha-beta T cell"	<http://purl.obolibrary.org/obo/CL_0001044>
CL:0001050	"effector CD8-positive, alpha-beta T cell"	<http://purl.obolibrary.org/obo/CL_0001050>
CL:0000911	effector T cell	<http://purl.obolibrary.org/obo/CL_0000911>
CL:0000905	"effector memory CD4-positive, alpha-beta T cell"	<http://purl.obolibrary.org/obo/CL_0000905>
CL:0001087	"effector memory CD4-positive, alpha-beta T cell, terminally differentiated"	<http://purl.obolibrary.org/obo/CL_0001087>
CL:4030002	"effector memory CD45RA-positive, alpha-beta T cell, terminally differentiated"	<http://purl.obolibrary.org/obo/CL_4030002>
CL:0000913	"effector memory CD8-positive, alpha-beta T cell"	<http://purl.obolibrary.org/obo/CL_0000913>
CL:0001062	"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"	<http://purl.obolibrary.org/obo/CL_0001062>
CL:0000527	efferent neuron	<http://purl.obolibrary.org/obo/CL_0000527>
CL:0000025	egg cell	<http://purl.obolibrary.org/obo/CL_0000025>
CL:0000659	eggshell secreting cell	<http://purl.obolibrary.org/obo/CL_0000659>
CL:0000211	electrically active cell	<http://purl.obolibrary.org/obo/CL_0000211>
CL:0000393	electrically responsive cell	<http://purl.obolibrary.org/obo/CL_0000393>
CL:0000404	electrically signaling cell	<http://purl.obolibrary.org/obo/CL_0000404>
CL:0000861	elicited macrophage	<http://purl.obolibrary.org/obo/CL_0000861>
CL:0002546	embryonic blood vessel endothelial progenitor cell	<http://purl.obolibrary.org/obo/CL_0002546>
CL:0002321	embryonic cell (metazoa)	<http://purl.obolibrary.org/obo/CL_0002321>
CL:2000042	embryonic fibroblast	<http://purl.obolibrary.org/obo/CL_2000042>
CL:0009097	embryonic skeletal muscle fiber	<http://purl.obolibrary.org/obo/CL_0009097>
CL:0002322	embryonic stem cell	<http://purl.obolibrary.org/obo/CL_0002322>
CL:0002076	endo-epithelial cell	<http://purl.obolibrary.org/obo/CL_0002076>
CL:0002645	endo-epithelial cell of pharyngotympanic part of viscerocranial mucosa	<http://purl.obolibrary.org/obo/CL_0002645>
CL:0002644	endo-epithelial cell of tympanic part of viscerocranial mucosa	<http://purl.obolibrary.org/obo/CL_0002644>
CL:0002350	endocardial cell	<http://purl.obolibrary.org/obo/CL_0002350>
CL:0008022	endocardial cushion cell	<http://purl.obolibrary.org/obo/CL_0008022>
CL:0000163	endocrine cell	<http://purl.obolibrary.org/obo/CL_0000163>
CL:4052015	endocrine gland capillary endothelial cell	<http://purl.obolibrary.org/obo/CL_4052015>
CL:0002313	endocrine-paracrine cell of prostate gland	<http://purl.obolibrary.org/obo/CL_0002313>
CL:0000223	endodermal cell	<http://purl.obolibrary.org/obo/CL_0000223>
CL:2000091	endometrial microvascular endothelial cell	<http://purl.obolibrary.org/obo/CL_2000091>
CL:4030040	endometrial multiciliated epithelial cell	<http://purl.obolibrary.org/obo/CL_4030040>
CL:0000417	endopolyploid cell	<http://purl.obolibrary.org/obo/CL_0000417>
CL:0000507	endorphin secreting cell	<http://purl.obolibrary.org/obo/CL_0000507>
CL:0002157	endosteal cell	<http://purl.obolibrary.org/obo/CL_0002157>
CL:0000115	endothelial cell	<http://purl.obolibrary.org/obo/CL_0000115>
CL:1000411	endothelial cell of Peyer's patch	<http://purl.obolibrary.org/obo/CL_1000411>
CL:1000412	endothelial cell of arteriole	<http://purl.obolibrary.org/obo/CL_1000412>
CL:4033001	endothelial cell of arteriole of lymph node	<http://purl.obolibrary.org/obo/CL_4033001>
CL:1000413	endothelial cell of artery	<http://purl.obolibrary.org/obo/CL_1000413>
CL:4033061	endothelial cell of central vein of liver	<http://purl.obolibrary.org/obo/CL_4033061>
CL:2000018	endothelial cell of coronary artery	<http://purl.obolibrary.org/obo/CL_2000018>
CL:4033006	endothelial cell of efferent lymphatic vessel	<http://purl.obolibrary.org/obo/CL_4033006>
CL:0009094	endothelial cell of hepatic portal vein	<http://purl.obolibrary.org/obo/CL_0009094>
CL:1000398	endothelial cell of hepatic sinusoid	<http://purl.obolibrary.org/obo/CL_1000398>
CL:0002652	endothelial cell of high endothelial venule	<http://purl.obolibrary.org/obo/CL_0002652>
CL:0002138	endothelial cell of lymphatic vessel	<http://purl.obolibrary.org/obo/CL_0002138>
CL:0019022	endothelial cell of pericentral hepatic sinusoid	<http://purl.obolibrary.org/obo/CL_0019022>
CL:0019021	endothelial cell of periportal hepatic sinusoid	<http://purl.obolibrary.org/obo/CL_0019021>
CL:0009092	endothelial cell of placenta	<http://purl.obolibrary.org/obo/CL_0009092>
CL:0009086	endothelial cell of respiratory system lymphatic vessel	<http://purl.obolibrary.org/obo/CL_0009086>
CL:0002262	endothelial cell of sinusoid	<http://purl.obolibrary.org/obo/CL_0002262>
CL:0002618	endothelial cell of umbilical vein	<http://purl.obolibrary.org/obo/CL_0002618>
CL:0009095	endothelial cell of uterus	<http://purl.obolibrary.org/obo/CL_0009095>
CL:0002139	endothelial cell of vascular tree	<http://purl.obolibrary.org/obo/CL_0002139>
CL:1000397	endothelial cell of venous sinus of red pulp of spleen	<http://purl.obolibrary.org/obo/CL_1000397>
CL:0002651	endothelial cell of venous sinus of spleen	<http://purl.obolibrary.org/obo/CL_0002651>
CL:1000414	endothelial cell of venule	<http://purl.obolibrary.org/obo/CL_1000414>
CL:4033000	endothelial cell of venule of lymph node	<http://purl.obolibrary.org/obo/CL_4033000>
CL:0002261	endothelial cell of viscerocranial mucosa	<http://purl.obolibrary.org/obo/CL_0002261>
CL:0009090	endothelial colony forming cell	<http://purl.obolibrary.org/obo/CL_0009090>
CL:0002671	endothelial stalk cell	<http://purl.obolibrary.org/obo/CL_0002671>
CL:0000704	endothelial tip cell	<http://purl.obolibrary.org/obo/CL_0000704>
CL:4033063	endovascular extravillous trophoblast cell	<http://purl.obolibrary.org/obo/CL_4033063>
CL:0000506	enkephalin secreting cell	<http://purl.obolibrary.org/obo/CL_0000506>
CL:0007011	enteric neuron	<http://purl.obolibrary.org/obo/CL_0007011>
CL:0002504	enteric smooth muscle cell	<http://purl.obolibrary.org/obo/CL_0002504>
CL:0000504	enterochromaffin-like cell	<http://purl.obolibrary.org/obo/CL_0000504>
CL:0000584	enterocyte	<http://purl.obolibrary.org/obo/CL_0000584>
CL:0009058	enterocyte of anorectum	<http://purl.obolibrary.org/obo/CL_0009058>
CL:0009026	enterocyte of appendix	<http://purl.obolibrary.org/obo/CL_0009026>
CL:1000338	enterocyte of epithelium of crypt of Lieberkuhn of small intestine	<http://purl.obolibrary.org/obo/CL_1000338>
CL:1000337	enterocyte of epithelium of duodenal gland	<http://purl.obolibrary.org/obo/CL_1000337>
CL:1000335	enterocyte of epithelium of intestinal villus	<http://purl.obolibrary.org/obo/CL_1000335>
CL:0002071	enterocyte of epithelium of large intestine	<http://purl.obolibrary.org/obo/CL_0002071>
CL:1000334	enterocyte of epithelium of small intestine	<http://purl.obolibrary.org/obo/CL_1000334>
CL:1000340	enterocyte of epithelium proper of duodenum	<http://purl.obolibrary.org/obo/CL_1000340>
CL:1000342	enterocyte of epithelium proper of ileum	<http://purl.obolibrary.org/obo/CL_1000342>
CL:1000341	enterocyte of epithelium proper of jejunum	<http://purl.obolibrary.org/obo/CL_1000341>
CL:1000346	enterocyte of epithelium proper of large intestine	<http://purl.obolibrary.org/obo/CL_1000346>
CL:1000339	enterocyte of epithelium proper of small intestine	<http://purl.obolibrary.org/obo/CL_1000339>
CL:0000164	enteroendocrine cell	<http://purl.obolibrary.org/obo/CL_0000164>
CL:0009063	enteroendocrine cell of anorectum	<http://purl.obolibrary.org/obo/CL_0009063>
CL:0009030	enteroendocrine cell of appendix	<http://purl.obolibrary.org/obo/CL_0009030>
CL:0009042	enteroendocrine cell of colon	<http://purl.obolibrary.org/obo/CL_0009042>
CL:0009006	enteroendocrine cell of small intestine	<http://purl.obolibrary.org/obo/CL_0009006>
CL:4040002	enteroglial cell	<http://purl.obolibrary.org/obo/CL_4040002>
CL:0000595	enucleate erythrocyte	<http://purl.obolibrary.org/obo/CL_0000595>
CL:0002422	enucleated reticulocyte	<http://purl.obolibrary.org/obo/CL_0002422>
CL:0000771	eosinophil	<http://purl.obolibrary.org/obo/CL_0000771>
CL:0000611	eosinophil progenitor cell	<http://purl.obolibrary.org/obo/CL_0000611>
CL:0000773	eosinophilic metamyelocyte	<http://purl.obolibrary.org/obo/CL_0000773>
CL:0000832	eosinophilic myeloblast	<http://purl.obolibrary.org/obo/CL_0000832>
CL:0000612	eosinophilic myelocyte	<http://purl.obolibrary.org/obo/CL_0000612>
CL:0000833	eosinophilic promyelocyte	<http://purl.obolibrary.org/obo/CL_0000833>
CL:0000065	ependymal cell	<http://purl.obolibrary.org/obo/CL_0000065>
CL:0000683	ependymoglial cell	<http://purl.obolibrary.org/obo/CL_0000683>
CL:0000352	epiblast cell	<http://purl.obolibrary.org/obo/CL_0000352>
CL:1000309	epicardial adipocyte	<http://purl.obolibrary.org/obo/CL_1000309>
CL:0002457	epidermal Langerhans cell	<http://purl.obolibrary.org/obo/CL_0002457>
CL:0000362	epidermal cell	<http://purl.obolibrary.org/obo/CL_0000362>
CL:0007018	epidermal ciliary cell	<http://purl.obolibrary.org/obo/CL_0007018>
CL:2000000	epidermal melanocyte	<http://purl.obolibrary.org/obo/CL_2000000>
CL:0007019	epidermal mucus secreting cell	<http://purl.obolibrary.org/obo/CL_0007019>
CL:0000464	epidermoblast	<http://purl.obolibrary.org/obo/CL_0000464>
CL:1001590	epididymis secretory cell	<http://purl.obolibrary.org/obo/CL_1001590>
CL:0000454	epinephrine secreting cell	<http://purl.obolibrary.org/obo/CL_0000454>
CL:0000066	epithelial cell	<http://purl.obolibrary.org/obo/CL_0000066>
CL:0002166	epithelial cell of Malassez	<http://purl.obolibrary.org/obo/CL_0002166>
CL:0002251	epithelial cell of alimentary canal	<http://purl.obolibrary.org/obo/CL_0002251>
CL:0002536	epithelial cell of amnion	<http://purl.obolibrary.org/obo/CL_0002536>
CL:0002634	epithelial cell of anal column	<http://purl.obolibrary.org/obo/CL_0002634>
CL:1000405	epithelial cell of appendix	<http://purl.obolibrary.org/obo/CL_1000405>
CL:0002535	epithelial cell of cervix	<http://purl.obolibrary.org/obo/CL_0002535>
CL:0002305	epithelial cell of distal tubule	<http://purl.obolibrary.org/obo/CL_0002305>
CL:4030016	epithelial cell of early distal convoluted tubule	<http://purl.obolibrary.org/obo/CL_4030016>
CL:0009084	epithelial cell of endometrial gland	<http://purl.obolibrary.org/obo/CL_0009084>
CL:0002642	epithelial cell of esophageal cardiac gland	<http://purl.obolibrary.org/obo/CL_0002642>
CL:0002641	epithelial cell of esophageal gland proper	<http://purl.obolibrary.org/obo/CL_0002641>
CL:0002252	epithelial cell of esophagus	<http://purl.obolibrary.org/obo/CL_0002252>
CL:1001433	epithelial cell of exocrine pancreas	<http://purl.obolibrary.org/obo/CL_1001433>
CL:1000434	epithelial cell of external acoustic meatus	<http://purl.obolibrary.org/obo/CL_1000434>
