Permissible Values	Label	NCIT	ICD10CM	ICD9	ICD-O_3.1
MONDO:0003461	fallopian tube serous adenofibroma	NCIT:C40113			
MONDO:0003462	papillary adenofibroma	NCIT:C8986			9013/0
MONDO:0003463	ovarian endometrioid adenofibroma	NCIT:C27287			8381/0
MONDO:0003464	cystadenofibroma	NCIT:C8985			9013/0
MONDO:0003465	fibrous synovial sarcoma	NCIT:C6533			
MONDO:0003466	spindle cell synovial sarcoma	NCIT:C4277			9041/3
MONDO:0003467	mediastinum synovial sarcoma	NCIT:C6618			
MONDO:0003468	biphasic synovial sarcoma	NCIT:C4279			9043/3
MONDO:0003469	epithelioid cell synovial sarcoma	NCIT:C4278			9042/3
MONDO:0003470	cellular ependymoma	NCIT:C4713			9391/3
MONDO:0003472	lice infestation	NCIT:C128401			
MONDO:0003473	spinal cord ependymoma	NCIT:C3875			
MONDO:0003474	tanycytic ependymoma	NCIT:C6903			9391/3
MONDO:0003475	papillary ependymoma	NCIT:C4319			9393/3
MONDO:0003476	clear cell ependymoma	NCIT:C4714			9391/3
MONDO:0003477	brain stem ependymoma	NCIT:C5098			
MONDO:0003478	childhood ependymoma	NCIT:C8578			
MONDO:0003480	pineal region dysgerminoma	NCIT:C7169			
MONDO:0003481	dysgerminoma of ovary	NCIT:C8106			
MONDO:0003486	basaloid squamous cell carcinoma	NCIT:C54244			8083/3
MONDO:0003487	pseudoglandular squamous cell carcinoma	NCIT:C4106			8075/3
MONDO:0003490	ampulla of vater squamous cell carcinoma	NCIT:C27417			
MONDO:0003492	lacrimal gland squamous cell carcinoma	NCIT:C6092			
MONDO:0003493	thymus squamous cell carcinoma	NCIT:C6455			
MONDO:0003494	ovarian squamous cell carcinoma	NCIT:C40093			
MONDO:0003495	ovarian squamous cell neoplasm	NCIT:C40092			
MONDO:0003497	renal pelvis squamous cell carcinoma	NCIT:C7732			
MONDO:0003499	sarcomatoid squamous cell skin carcinoma	NCIT:C27084			8074/3
MONDO:0003500	squamous cell bile duct carcinoma	NCIT:C5777			
MONDO:0003501	external ear squamous cell carcinoma	NCIT:C6083			
MONDO:0003502	ureter squamous cell carcinoma	NCIT:C6154			
MONDO:0003503	fallopian tube squamous cell carcinoma	NCIT:C6282			
MONDO:0003504	anal canal neuroendocrine neoplasm	NCIT:C5603			
MONDO:0003506	pulmonary artery choriocarcinoma	NCIT:C5381			
MONDO:0003507	choriocarcinoma of ovary	NCIT:C4515			
MONDO:0003508	choriocarcinoma of testis	NCIT:C7733			
MONDO:0003509	pineal region choriocarcinoma	NCIT:C6759			
MONDO:0003510	malignant testicular germ cell tumor	NCIT:C9063			
MONDO:0003512	mediastinal mesenchymal tumor	NCIT:C6637			
MONDO:0003513	gastric teratoma	NCIT:C5259			
MONDO:0003514	malignant teratoma	NCIT:C4286			9080/3
MONDO:0003515	fallopian tube teratoma	NCIT:C40131			
MONDO:0003516	adult teratoma	NCIT:C9013			9080/0
MONDO:0003517	mature teratoma	NCIT:C9015			9080/0
MONDO:0003518	mediastinum teratoma	NCIT:C6438			
MONDO:0003519	malignant syringoma	NCIT:C7581			8407/3
MONDO:0003522	male orgasm disorder	NCIT:C34959			
MONDO:0003523	gastrin-producing neuroendocrine tumor	NCIT:C3050			8153/1
MONDO:0003524	gastric gastrin-producing neuroendocrine tumor	NCIT:C27444			
MONDO:0003525	pancreatic gastrin-producing neuroendocrine tumor	NCIT:C9069			
MONDO:0003528	Volkmann contracture	NCIT:C35130			
MONDO:0003529	acute pyelonephritis	NCIT:C123215	ICD10CM:N10		
MONDO:0003531	papillary eccrine carcinoma	NCIT:C27254			
MONDO:0003532	breast papillary carcinoma	NCIT:C9134			
MONDO:0003534	papillary thymic adenocarcinoma	NCIT:C27937			
MONDO:0003535	fallopian tube papillary adenocarcinoma	NCIT:C6267			
MONDO:0003537	precursor T-lymphoblastic lymphoma/leukemia	NCIT:C8694			9837/3
MONDO:0003538	precursor lymphoblastic lymphoma/leukemia	NCIT:C7055			
MONDO:0003539	T-cell adult acute lymphocytic leukemia	NCIT:C9142			
MONDO:0003541	adult acute lymphoblastic leukemia	NCIT:C4967			
MONDO:0003543	trigeminal nerve disorder	NCIT:C26952			
MONDO:0003544	spinal cord cancer	NCIT:C3572			
MONDO:0003545	intradural extramedullary spinal canal neoplasm	NCIT:C5135			
MONDO:0003546	third cranial nerve disorder	NCIT:C27598			
MONDO:0003547	obsolete histiocytic and dendritic cell cancer	NCIT:C9294			
MONDO:0003548	adenosquamous breast carcinoma	NCIT:C40361			
MONDO:0003550	esophageal adenosquamous carcinoma	NCIT:C27421			
MONDO:0003551	thymic adenosquamous carcinoma	NCIT:C6458			
MONDO:0003553	ampulla of vater adenosquamous carcinoma	NCIT:C27418			
MONDO:0003554	adenosquamous colon carcinoma	NCIT:C5491			
MONDO:0003555	Bartholin gland adenosquamous carcinoma	NCIT:C40296			
MONDO:0003556	endometrial adenosquamous carcinoma	NCIT:C114656			
MONDO:0003557	optic nerve sheath meningioma	NCIT:C4538			
MONDO:0003558	adenosquamous prostate carcinoma	NCIT:C5538			
MONDO:0003561	malignant giant cell tumor of soft parts	NCIT:C8380			9250/3
MONDO:0003562	rete testis neoplasm	NCIT:C39955			
MONDO:0003563	diffuse pulmonary fibrosis	NCIT:C27216			
MONDO:0003564	localized pulmonary fibrosis	NCIT:C27103			
MONDO:0003565	urethral villous adenoma	NCIT:C39872			
MONDO:0003569	cranial nerve neuropathy	NCIT:C26733			
MONDO:0003570	lipid-rich carcinoma	NCIT:C4152			8314/3
MONDO:0003572	nasopharyngeal type undifferentiated carcinoma	NCIT:C4107			8082/3
MONDO:0003573	pleomorphic carcinoma	NCIT:C4094			8022/3
MONDO:0003574	external ear cancer	NCIT:C4653			
MONDO:0003575	comedocarcinoma	NCIT:C4188			8501/3
MONDO:0003578	extragonadal nonseminomatous germ cell tumor	NCIT:C8885			
MONDO:0003581	ovarian embryonal carcinoma	NCIT:C8108			
MONDO:0003582	hereditary breast ovarian cancer syndrome	NCIT:C8493	ICD10CM:C50		
MONDO:0003584	visual cortex disorder	NCIT:C35275			
MONDO:0003585	adult liposarcoma	NCIT:C7811			
MONDO:0003586	esophagus liposarcoma	NCIT:C5705			
MONDO:0003587	pediatric liposarcoma	NCIT:C8091			
MONDO:0003588	larynx liposarcoma	NCIT:C6021			
MONDO:0003589	liposarcoma of the ovary	NCIT:C6419			
MONDO:0003590	fibroblastic liposarcoma	NCIT:C6509			8857/3
MONDO:0003591	kidney liposarcoma	NCIT:C6185			
MONDO:0003592	gastric liposarcoma	NCIT:C5488			
MONDO:0003593	breast liposarcoma	NCIT:C5187			
MONDO:0003594	mixed liposarcoma	NCIT:C4253			8855/3
MONDO:0003595	sclerosing liposarcoma	NCIT:C6507			8851/3
MONDO:0003596	spindle cell liposarcoma	NCIT:C27489			
MONDO:0003599	vulvar liposarcoma	NCIT:C40321			
MONDO:0003600	cutaneous liposarcoma	NCIT:C5615			
MONDO:0003601	mediastinum liposarcoma	NCIT:C6614			
MONDO:0003602	intracranial liposarcoma	NCIT:C6973			
MONDO:0003603	non-functioning pituitary gland neoplasm	NCIT:C4009			
MONDO:0003604	functioning pituitary gland neoplasm	NCIT:C7047			
MONDO:0003606	adrenal medulla cancer	NCIT:C4396			
MONDO:0003607	neuritis of upper limb			ICD9:354	
MONDO:0003608	optic atrophy	NCIT:C34863			
MONDO:0003609	seminal vesicle cystadenoma	NCIT:C39907			
MONDO:0003610	rete ovarii cystadenoma	NCIT:C40019			
MONDO:0003611	uterine ligament papillary cystadenoma associated with von Hippel-Lindau disease	NCIT:C40142			
MONDO:0003612	uterine ligament cancer	NCIT:C126498			
MONDO:0003614	intravenous leiomyomatosis	NCIT:C4518			
MONDO:0003615	nerve compression syndrome	NCIT:C27221			
MONDO:0003616	salpingitis isthmica nodosa	NCIT:C40119			
MONDO:0003617	chronic salpingitis	NCIT:C40118			
MONDO:0003618	pyosalpinx	NCIT:C34968			
MONDO:0003619	salpingitis	NCIT:C26880			
MONDO:0003620	peripheral nervous system disorder	NCIT:C27580			
MONDO:0003621	small intestinal vasoactive intestinal peptide producing tumor	NCIT:C27455			
MONDO:0003622	pancreatic vasoactive intestinal peptide producing tumor	NCIT:C27454			
MONDO:0003624	acinic cell breast carcinoma	NCIT:C40367			
MONDO:0003626	uterine ligament serous adenocarcinoma	NCIT:C40136			
MONDO:0003628	pulmonary valve disorder	NCIT:C78579			
MONDO:0003630	pancreatic serous cystadenocarcinoma	NCIT:C5724			
MONDO:0003631	cervical serous adenocarcinoma	NCIT:C40201			
MONDO:0003632	endocervicitis	NCIT:C26762			
MONDO:0003633	malignant mesenchymoma	NCIT:C4268			8990/3
MONDO:0003634	proteinuria		ICD10CM:R80		
MONDO:0003635	sebaceous breast carcinoma	NCIT:C40369			
MONDO:0003636	vulvar sebaceous carcinoma	NCIT:C40309			
MONDO:0003637	clear cell-sugar-tumor of the lung	NCIT:C38152			
MONDO:0003638	lung meningioma	NCIT:C5668			
MONDO:0003639	lung hilum neoplasm	NCIT:C5671			
MONDO:0003640	verruciform xanthoma of skin	NCIT:C4478			
MONDO:0003641	central nervous system hematopoietic neoplasm	NCIT:C5503			
MONDO:0003643	giant hemangioma	NCIT:C27777			
MONDO:0003644	cavernous hemangioma of colon	NCIT:C5395			
MONDO:0003645	cavernous hemangioma of face	NCIT:C7053			
MONDO:0003646	rectum neuroendocrine neoplasm	NCIT:C5698			
MONDO:0003649	esophageal neuroendocrine tumor	NCIT:C95616			
MONDO:0003650	mixed hepatoblastoma	NCIT:C7097			8970/3
MONDO:0003651	macrotrabecular hepatoblastoma	NCIT:C7095			
MONDO:0003652	acute urate nephropathy	NCIT:C123037			
MONDO:0003654	childhood parosteal osteosarcoma	NCIT:C6589			
MONDO:0003655	cerebral lymphoma	NCIT:C7611			
MONDO:0003658	B-cell lymphoma, unclassifiable, with features intermediate between diffuse large b-cell lymphoma and classical Hodgkin lymphoma	NCIT:C37869			9596/3
MONDO:0003659	pediatric lymphoma	NCIT:C5165			
MONDO:0003660	adult lymphoma	NCIT:C7587			
MONDO:0003661	breast lymphoma	NCIT:C4671			
MONDO:0003663	uterine ligament endometrioid adenocarcinoma	NCIT:C40138			
MONDO:0003664	hemolytic anemia	NCIT:C34376			
MONDO:0003665	cervical endometrioid adenocarcinoma	NCIT:C6343			
MONDO:0003666	fallopian tube endometrioid adenocarcinoma	NCIT:C40111			
MONDO:0003668	extragonadal seminoma	NCIT:C7327			
MONDO:0003669	testicular seminoma	NCIT:C7328			
MONDO:0003678	silent myocardial infarction	NCIT:C35400			
MONDO:0003680	periosteal chondrosarcoma	NCIT:C7357			9221/3
MONDO:0003681	myxoid chondrosarcoma	NCIT:C4303			9231/3
MONDO:0003682	localized chondrosarcoma	NCIT:C8778			
MONDO:0003684	clear cell chondrosarcoma	NCIT:C6475			9242/3
MONDO:0003685	retroperitoneal germ cell neoplasm	NCIT:C6447			
MONDO:0003686	apocrine sweat gland neoplasm	NCIT:C6798			
MONDO:0003687	endocardium cancer	NCIT:C4570			
MONDO:0003688	well differentiated papillary mesothelioma	NCIT:C7635			
MONDO:0003689	familial hemolytic anemia	NCIT:C34379		ICD9:282	
MONDO:0003690	adult anaplastic ependymoma	NCIT:C8269			
MONDO:0003691	childhood malignant mesenchymoma	NCIT:C8097			
MONDO:0003692	adult malignant mesenchymoma	NCIT:C7947			
MONDO:0003693	clear cell cystadenofibroma	NCIT:C8988			8313/0
MONDO:0003694	ovarian clear cell cystadenofibroma	NCIT:C40086			
MONDO:0003695	ovarian clear cell adenofibroma	NCIT:C40085			
MONDO:0003697	non-invasive verrucous carcinoma of the penis	NCIT:C27791			
MONDO:0003698	penis verrucous carcinoma	NCIT:C6982			
MONDO:0003699	phobic disorder	NCIT:C35420			
MONDO:0003700	brachial plexus neoplasm	NCIT:C5823			
MONDO:0003701	thyroid gland diffuse sclerosing papillary carcinoma	NCIT:C7427			8350/3
MONDO:0003702	uterus intravascular leiomyomatosis	NCIT:C5356			
MONDO:0003704	uterine corpus diffuse leiomyomatosis	NCIT:C40170			
MONDO:0003705	adult brainstem mixed glioma	NCIT:C9371			
MONDO:0003706	adult brainstem astrocytoma	NCIT:C6954			
MONDO:0003707	distal biliary tract carcinoma	NCIT:C7109			
MONDO:0003708	extrahepatic bile duct small cell adenocarcinoma	NCIT:C5845			
MONDO:0003709	agoraphobia	NCIT:C34362			
MONDO:0003710	ovarian mixed germ cell neoplasm	NCIT:C8114			
MONDO:0003712	angiokeratoma of mibelli	NCIT:C3927			
MONDO:0003713	angiokeratoma circumscriptum	NCIT:C7751			
MONDO:0003714	bladder urachal squamous cell carcinoma	NCIT:C39845			
MONDO:0003715	bladder urachal carcinoma	NCIT:C39842			
MONDO:0003716	renal pelvis papillary urothelial carcinoma	NCIT:C6148			
MONDO:0003717	renal pelvis papillary tumor	NCIT:C8603			
MONDO:0003718	occlusion precerebral artery			ICD9:433	
MONDO:0003719	renal pelvis neoplasm	NCIT:C8404			
MONDO:0003720	kidney fibrosarcoma	NCIT:C7726			
MONDO:0003721	kidney osteogenic sarcoma	NCIT:C6181			
MONDO:0003722	internal auditory canal meningioma	NCIT:C5307			
MONDO:0003723	blunt duct adenosis of breast	NCIT:C6941			
MONDO:0003724	non-proliferative fibrocystic change of the breast	NCIT:C6943			
MONDO:0003725	breast adenosis	NCIT:C3484			
MONDO:0003726	apocrine adenosis of breast	NCIT:C5198			
MONDO:0003727	animal phobia	NCIT:C35273			
MONDO:0003728	breast fibrosarcoma	NCIT:C5185			
MONDO:0003729	aleukemic leukemia cutis	NCIT:C4983			
MONDO:0003730	aleukemic leukemia	NCIT:C4982			9800/3
MONDO:0003731	adult central nervous system teratoma	NCIT:C5794			
MONDO:0003732	adult central nervous system mature teratoma	NCIT:C27400			
MONDO:0003733	central nervous system mature teratoma	NCIT:C7013			
MONDO:0003734	adult central nervous system immature teratoma	NCIT:C27401			
MONDO:0003735	central nervous system immature teratoma	NCIT:C7014			
MONDO:0003736	cancerophobia	NCIT:C35492			
MONDO:0003737	malignant testicular Leydig cell tumor	NCIT:C39942			
MONDO:0003738	selective IgE deficiency disease	NCIT:C27143			
MONDO:0003739	selective immunoglobulin deficiency disease	NCIT:C27870			
MONDO:0003740	AIDS phobia	NCIT:C35614			
MONDO:0003741	juvenile type testicular granulosa cell tumor	NCIT:C39947			
MONDO:0003742	heart fibrosarcoma	NCIT:C5361			
MONDO:0003743	heart malignant hemangiopericytoma	NCIT:C5365			
MONDO:0003744	spindle cell intraocular melanoma	NCIT:C7986			
MONDO:0003745	choroid spindle cell melanoma	NCIT:C6099			
MONDO:0003746	ciliary body spindle cell melanoma	NCIT:C6117			
MONDO:0003747	telangiectatic glomangioma	NCIT:C5345			
MONDO:0003748	flying phobia	NCIT:C35413			
MONDO:0003749	esophageal disorder	NCIT:C3027		ICD9:530	
MONDO:0003750	childhood central nervous system germ cell tumor	NCIT:C6205			
MONDO:0003751	childhood germ cell tumor	NCIT:C7928			
MONDO:0003752	frontal sinus Schneiderian papilloma	NCIT:C6837			
MONDO:0003753	nasal vestibule squamous papilloma	NCIT:C4369			
MONDO:0003754	Brown-Sequard syndrome	NCIT:C84601			
MONDO:0003755	urinary tract non-invasive transitional cell neoplasm	NCIT:C39854			
MONDO:0003756	ovarian mucinous neoplasm	NCIT:C5242			
MONDO:0003757	paraplegia	NCIT:C50687			
MONDO:0003758	childhood testicular germ cell tumor	NCIT:C6552			
MONDO:0003759	childhood ovarian yolk sac tumor	NCIT:C6551			
MONDO:0003760	pediatric ovarian germ cell tumor	NCIT:C8588			
MONDO:0003761	leptomeningeal melanoma	NCIT:C5317			
MONDO:0003762	malignant leptomeningeal tumor	NCIT:C8506			
MONDO:0003763	acute stress disorder	NCIT:C92621			
MONDO:0003764	pediatric leptomeningeal melanoma	NCIT:C5318			
MONDO:0003765	adult leptomeningeal melanoma	NCIT:C5319			
MONDO:0003766	thalamic cancer	NCIT:C4576			
MONDO:0003767	mitral valve disorder	NCIT:C78446		ICD9:394	
MONDO:0003768	signet ring cell variant cervical mucinous adenocarcinoma	NCIT:C40205			
MONDO:0003769	herpetic gastritis	NCIT:C27341			
MONDO:0003770	thoracic spinal canal and spinal cord meningioma	NCIT:C5297			
MONDO:0003771	jugular foramen meningioma	NCIT:C5293			
MONDO:0003772	cerebral meningioma	NCIT:C4807			
MONDO:0003773	intracerebral cystic meningioma	NCIT:C5269			
MONDO:0003774	cerebral convexity meningioma	NCIT:C4959			
MONDO:0003775	lateral ventricle meningioma	NCIT:C5302			
MONDO:0003776	renal pelvis inverted papilloma	NCIT:C6187			
MONDO:0003777	renal pelvis urothelial papilloma	NCIT:C4528			
MONDO:0003778	inborn error of immunity	NCIT:C3131			
MONDO:0003780	T-cell immunodeficiency	NCIT:C27145			
MONDO:0003781	bronchitis	NCIT:C2911		ICD9:490	
MONDO:0003782	uterine corpus epithelioid leiomyosarcoma	NCIT:C40174			
MONDO:0003784	nasal cavity carcinoma in situ	NCIT:C4589			
MONDO:0003785	leukopenia	NCIT:C26816			
MONDO:0003786	childhood testicular choriocarcinoma	NCIT:C6544			
MONDO:0003787	childhood testicular mixed germ cell cancer	NCIT:C6542			
MONDO:0003788	childhood embryonal testis carcinoma	NCIT:C6545			
MONDO:0003789	hereditary papillary renal cell carcinoma	NCIT:C9222			
MONDO:0003790	prostatic urethra urothelial carcinoma	NCIT:C39900			
MONDO:0003791	prostatic urethral cancer	NCIT:C39870			
MONDO:0003792	ovarian carcinosarcoma	NCIT:C9192			
MONDO:0003795	ovarian small cell carcinoma	NCIT:C27390			
MONDO:0003796	rectum Kaposi sarcoma	NCIT:C5550			
MONDO:0003799	conjunctivitis	NCIT:C34504			
MONDO:0003800	conventional malignant hemangiopericytoma	NCIT:C9425			
MONDO:0003801	corneal intraepithelial neoplasm	NCIT:C6093			
MONDO:0003802	cornea cancer	NCIT:C3565			
MONDO:0003803	aortic valve disorder	NCIT:C78650		ICD9:395	
MONDO:0003805	malignant pericardial mesothelioma	NCIT:C7631			
MONDO:0003806	thyroid hyalinizing trabecular adenoma	NCIT:C6846			8336/0
MONDO:0003808	mediastinal extraskeletal osteosarcoma	NCIT:C6615			
MONDO:0003809	malignant mediastinum hemangiopericytoma	NCIT:C6608			
MONDO:0003810	bladder diffuse clear cell adenocarcinoma	NCIT:C39849			
MONDO:0003811	ovarian seromucinous tumor	NCIT:C4508			
MONDO:0003812	ovarian endometrial cancer	NCIT:C40051			
MONDO:0003813	ovarian papillary tumor	NCIT:C8430			
MONDO:0003818	childhood mature teratoma of the ovary	NCIT:C6548			
MONDO:0003819	childhood teratoma of the ovary	NCIT:C6554			
MONDO:0003820	mature ovarian teratoma	NCIT:C8112			
MONDO:0003821	ovarian biphasic or triphasic teratoma	NCIT:C39992			
MONDO:0003822	non-invasive bladder papillary urothelial neoplasm	NCIT:C39831			
MONDO:0003824	hereditary kidney oncocytoma	NCIT:C8960			
MONDO:0003825	kidney oncocytoma	NCIT:C4526			
MONDO:0003826	mediastinum seminoma	NCIT:C6812			
MONDO:0003827	transient hypogammaglobulinemia	NCIT:C27319			
MONDO:0003828	growth hormone-producing pituitary gland carcinoma	NCIT:C5963			
MONDO:0003829	chromophil adenoma of the kidney	NCIT:C3687			
MONDO:0003830	type 1 papillary adenoma of the kidney	NCIT:C39809			
MONDO:0003831	type 2 papillary adenoma of the kidney	NCIT:C39810			
MONDO:0003832	complement deficiency	NCIT:C4691			
MONDO:0003834	gastric cardia carcinoma	NCIT:C6794			
MONDO:0003835	gastric cardia adenocarcinoma	NCIT:C5247			
MONDO:0003836	malignant thyroid stimulating hormone producing neoplasm of pituitary gland	NCIT:C5965			
MONDO:0003837	TSH producing pituitary tumor	NCIT:C7915			
MONDO:0003839	ovarian mucinous adenocarcinofibroma	NCIT:C40034			
MONDO:0003840	epicardium lipoma	NCIT:C6742			
MONDO:0003841	heart lipoma	NCIT:C6741			
MONDO:0003842	childhood cerebellar astrocytic neoplasm	NCIT:C6286			
MONDO:0003843	cerebral hemisphere lipoma	NCIT:C6220			
MONDO:0003844	central nervous system lipoma	NCIT:C5451			
MONDO:0003845	corpus callosum lipoma	NCIT:C5438			
MONDO:0003846	viral esophagitis	NCIT:C27108			
MONDO:0003847	hereditary disease	NCIT:C3101			
MONDO:0003848	ectopic thymus	NCIT:C27804			
MONDO:0003849	clivus chordoma	NCIT:C5412			
MONDO:0003850	clivus chondroid chordoma	NCIT:C5426			
MONDO:0003851	ovarian fetiform teratoma	NCIT:C39996			
MONDO:0003852	ovarian solid teratoma	NCIT:C7285			
MONDO:0003853	Bartholin gland adenocarcinoma	NCIT:C7719			
MONDO:0003856	adult malignant hemangiopericytoma	NCIT:C7946			
MONDO:0003857	adult intracranial malignant hemangiopericytoma	NCIT:C9183			
MONDO:0003858	anterior optic tract meningioma	NCIT:C7538			
MONDO:0003859	bilateral meningioma of optic nerve	NCIT:C5304			
MONDO:0003860	cerebellopontine angle meningioma	NCIT:C5300			
MONDO:0003861	vulvar eccrine adenocarcinoma	NCIT:C40305			
MONDO:0003862	melanotic psammomatous malignant peripheral nerve sheath tumor	NCIT:C6910			
MONDO:0003863	malignant melanocytic neoplasm of the peripheral nerve sheath	NCIT:C4748			9540/3
MONDO:0003864	chronic lymphocytic leukemia/small lymphocytic lymphoma	NCIT:C27911			
MONDO:0003865	acral lentiginous melanoma	NCIT:C4022			8744/3
MONDO:0003866	liver extraskeletal osteosarcoma	NCIT:C5833			
MONDO:0003867	diffuse meningeal melanocytosis	NCIT:C6890			8728/0
MONDO:0003868	anterior foramen magnum meningioma	NCIT:C5281			
MONDO:0003869	childhood brain stem glioma	NCIT:C9042			
MONDO:0003870	childhood brainstem astrocytoma	NCIT:C6216			
MONDO:0003872	ovarian papillary cystadenoma	NCIT:C7278			
MONDO:0003873	ovarian surface papilloma	NCIT:C7279			
MONDO:0003874	ovarian serous surface papillary adenocarcinoma	NCIT:C6256			
MONDO:0003875	childhood central nervous system mature teratoma	NCIT:C27404			
MONDO:0003876	eyelid carcinoma	NCIT:C6078			
MONDO:0003878	malignant choroid melanoma	NCIT:C4561			
MONDO:0003879	ovarian endometrioid adenocarcinofibroma	NCIT:C40060			
MONDO:0003880	ceruminous carcinoma	NCIT:C4176			8420/3
MONDO:0003881	vulvar apocrine adenocarcinoma	NCIT:C40308			
MONDO:0003882	central nervous system fibrosarcoma	NCIT:C5465			
MONDO:0003884	lipoma of the rectum	NCIT:C5551			
MONDO:0003885	colorectal lipoma	NCIT:C5678			
MONDO:0003886	mucinous cystadenofibroma	NCIT:C8979			9015/0
MONDO:0003887	ovarian mucinous adenofibroma	NCIT:C40040			
MONDO:0003888	childhood testicular mixed embryonal carcinoma and teratoma	NCIT:C6539			
MONDO:0003889	infiltrating bladder urothelial carcinoma, clear cell variant	NCIT:C39827			
MONDO:0003890	infiltrating bladder urothelial carcinoma	NCIT:C27885			
MONDO:0003891	bladder signet ring cell adenocarcinoma	NCIT:C6163			
MONDO:0003892	acinar lung adenocarcinoma	NCIT:C5649			
MONDO:0003893	rete testis adenoma	NCIT:C39956			
MONDO:0003894	mediastinal melanocytic neurilemmoma	NCIT:C6635			
MONDO:0003895	periosteal osteogenic sarcoma	NCIT:C8970			9193/3
MONDO:0003896	breast capillary hemangioma	NCIT:C5210			
MONDO:0003897	breast epithelioid hemangioma	NCIT:C5211			
MONDO:0003898	pediatric myxoid chondrosarcoma	NCIT:C27377			
MONDO:0003899	adult myxoid chondrosarcoma	NCIT:C27378			
MONDO:0003900	connective tissue disorder	NCIT:C26729			
MONDO:0003901	cerebellar hemangioblastoma	NCIT:C5146			
MONDO:0003902	brain stem hemangioblastoma	NCIT:C5147			
MONDO:0003903	benign vaginal mixed tumor	NCIT:C40280			
MONDO:0003904	lung occult squamous cell carcinoma	NCIT:C6686			
MONDO:0003905	ovarian yolk sac tumor, glandular pattern	NCIT:C39988			
MONDO:0003906	ovarian yolk sac tumor, hepatoid pattern	NCIT:C39989			
MONDO:0003907	ovarian yolk sac tumor, polyvesicular vitelline pattern	NCIT:C39987			
MONDO:0003908	clivus meningioma	NCIT:C5289			
MONDO:0003909	Bartholin gland adenomyoma	NCIT:C40300			
MONDO:0003910	mixed cell uveal melanoma	NCIT:C35781			
MONDO:0003911	ciliary body mixed cell melanoma	NCIT:C35783			
MONDO:0003912	malignant ciliary body melanoma	NCIT:C4558			
MONDO:0003913	choroid mixed cell melanoma	NCIT:C35782			
MONDO:0003915	cortical thymoma	NCIT:C6888			8584/1
MONDO:0003917	heart lymphoma	NCIT:C5368			
MONDO:0003918	angiomatous meningioma	NCIT:C4332			9534/0
MONDO:0003921	posterior foramen magnum meningioma	NCIT:C5282			
MONDO:0003922	ovarian clear cell malignant adenofibroma	NCIT:C40079			
MONDO:0003923	ethmoid sinus Schneiderian papilloma	NCIT:C6836			
MONDO:0003924	adrenal cortex adenoma	NCIT:C9003			8370/0
MONDO:0003925	ethmoid sinus inverted papilloma	NCIT:C6843			
MONDO:0003926	neurilemmoma of the pleura	NCIT:C5418			
MONDO:0003928	uterine corpus myxoid leiomyosarcoma	NCIT:C40175			
MONDO:0003929	vestibular micropapillomatosis	NCIT:C40290			
MONDO:0003930	non-invasive bladder urothelial carcinoma	NCIT:C6188			
MONDO:0003931	childhood optic tract astrocytoma	NCIT:C7534			
MONDO:0003932	childhood optic nerve glioma	NCIT:C7535			
MONDO:0003933	chest wall bone cancer	NCIT:C6724			
MONDO:0003934	breast apocrine carcinoma	NCIT:C5141			
MONDO:0003935	oncocytic breast carcinoma	NCIT:C40366			
MONDO:0003936	invasive tubular breast carcinoma	NCIT:C9135			
MONDO:0003937	spondylitis	NCIT:C116779			
MONDO:0003938	bladder colonic type adenocarcinoma	NCIT:C39835			
MONDO:0003941	classic variant of chromophobe renal cell carcinoma	NCIT:C27888			
MONDO:0003942	eosinophilic variant of chromophobe renal cell carcinoma	NCIT:C27889			
MONDO:0003943	central nervous system hibernoma	NCIT:C6997			
MONDO:0003944	endobronchial leiomyoma	NCIT:C5661			
MONDO:0003945	bone epithelioid hemangioma	NCIT:C5396			
MONDO:0003946	vaginal villous adenoma	NCIT:C40259			
MONDO:0003947	hyper-IgM syndrome	NCIT:C3990			
MONDO:0003948	cerebral hemangioma	NCIT:C5433			
MONDO:0003950	nipple carcinoma	NCIT:C28432			
MONDO:0003951	scrotal hemangioma	NCIT:C6387			
MONDO:0003952	adult central nervous system choriocarcinoma	NCIT:C5793			
MONDO:0003953	pediatric CNS choriocarcinoma	NCIT:C6206			
MONDO:0003955	juvenile breast papillomatosis	NCIT:C9503			
MONDO:0003957	adult pineoblastoma	NCIT:C8292			
MONDO:0003958	childhood central nervous system immature teratoma	NCIT:C27405			
MONDO:0003959	breast large cell neuroendocrine carcinoma	NCIT:C40356			
MONDO:0003960	pulmonary large cell neuroendocrine carcinoma	NCIT:C5672			
MONDO:0003962	Froelich syndrome	NCIT:C34625			
MONDO:0003963	diffuse infiltrative lymphocytosis syndrome	NCIT:C35699			
MONDO:0003964	myositis ossificans	NCIT:C3253			
MONDO:0003965	Capgras syndrome	NCIT:C34446			
MONDO:0003966	testicular monophasic choriocarcinoma	NCIT:C39935			
MONDO:0003967	synchronous multifocal osteogenic sarcoma	NCIT:C6471			
MONDO:0003968	asynchronous multifocal osteogenic sarcoma	NCIT:C6472			
MONDO:0003970	gastric fundus carcinoma	NCIT:C8398			
MONDO:0003971	gastric pylorus carcinoma	NCIT:C6795			
MONDO:0003972	gastric body carcinoma	NCIT:C8399			
MONDO:0003973	tubular variant testicular seminoma	NCIT:C40959			
MONDO:0003975	Littre gland carcinoma	NCIT:C39865			
MONDO:0003976	malignant type AB thymoma	NCIT:C6886			8582/3
