PERMITTED_VALUE	DESCRIPTION	DEFINITION
Ganglioneuromatosis	None	Extensive and diffuse infiltration of tissues by ganglioneuroma.
Gastric Parietal Cell Adenocarcinoma	None	An adenocarcinoma of the stomach arising from the parietal cells. It is characterized by the presence of malignant cells with eosinophilic, finely granular cytoplasm.
Gastrointestinal Tract Adenoma, Intestinal-Type	None	An adenoma that arises from the glandular epithelium of the gastrointestinal tract and is associated with intestinal-type differentiation.
Genital Rhabdomyoma	None	A rare benign skeletal muscle neoplasm arising from the female genital tract. It is characterized by the presence of small nucleated rhabdomyoblasts within a fibrous and myxoid stroma.
Giant Cell and Spindle Cell Carcinoma	None	A malignant epithelial neoplasm composed of giant, pleomorphic cells and spindle cells.
Giant Cell Fibroblastoma	None	An intermediate cutaneous fibrohistiocytic neoplasm typically affecting young patients (predominantly boys), characterized by painless nodules in the dermis or subcutaneous tissues. Morphologically, it contains giant cells and wide vessel-like spaces.  This tumor can recur, but metastases have not been reported.
Giant Cell Sarcoma	None	A sarcoma characterized by the presence of large, anaplastic malignant cells.
Giant Cell Tumor of Soft Tissue	None	A painless, well circumscribed tumor arising in soft tissue, usually of the upper and lower extremities. Morphologically, it is characterized by a multinodular growth pattern. The cellular infiltrate is composed of mononuclear round or oval cells and multinucleated osteoclast-like giant cells, in a rich vascular stroma.  It rarely metastasizes.
Glandular Papillomatosis	None	Multifocal neoplastic proliferations of the glandular epithelium displaying a papillary pattern.
Glioblastoma	None	The most malignant astrocytic tumor (WHO grade IV). It is composed of poorly differentiated neoplastic astrocytes and it is characterized by the presence of cellular polymorphism, nuclear atypia, brisk mitotic activity, vascular thrombosis, microvascular proliferation and necrosis. It typically affects adults and is preferentially located in the cerebral hemispheres. It may develop from diffuse astrocytoma WHO grade II or anaplastic astrocytoma (secondary glioblastoma), but more frequently, it manifests after a short clinical history de novo, without evidence of a less malignant precursor lesion (primary glioblastoma). Two histologic variants are recognized: giant cell glioblastoma and gliosarcoma. (WHO)
Gliomatosis Cerebri	None	A diffuse glial tumor which infiltrates the brain extensively, involving more than two lobes. It is frequently bilateral and often extends to the infratentorial structures, even to the spinal cord. It is probably of astrocytic origin, although GFAP expression may be scant or absent. (Adapted from WHO.)
Glomangiomatosis	None	A benign multifocal proliferation of glomus cells forming clusters around dilated vascular spaces.
Glomangiomyoma	None	A morphologic variant of the glomus tumor with architectural features similar to solid glomus tumor.  It is characterized by the presence of elongated glomus cells which resemble mature smooth muscle.
Glycogen-Rich Carcinoma	None	A carcinoma characterized by the presence of malignant epithelial cells with abundant clear cytoplasm which contains glycogen. A representative example is the glycogen-rich, clear cell breast carcinoma.
Gonadoblastoma	None	A mixed germ cell/sex cord-stromal tumor characterized by the presence of large germ cells which resemble seminoma cells and small cells which resemble Sertoli or granulosa cells. It occurs in the testis and the ovary and is identified in children and adults. It is often associated with gonadal dysgenesis and abnormal karyotype.
Grade 1 Nodular Sclerosis Classic Hodgkin Lymphoma	None	Nodular sclerosis Hodgkin lymphoma in which at least 75% of the tumor nodules contain scattered Reed-Sternberg cells. The background cellular infiltrate is lymphocytic, mixed, or fibrohistiocytic.
Grade 2 Nodular Sclerosis Classic Hodgkin Lymphoma	None	Nodular sclerosis Hodgkin lymphoma in which at least 25% of the tumor nodules contain increased numbers of Reed-Sternberg cells.
Grade III Lymphomatoid Granulomatosis	None	Lymphomatoid granulomatosis characterized by the presence of aggregates of neoplastic large B-lymphocytes, usually admixed with pleomorphic and Hodgkin-like cells, in a background of chronic inflammation.  Necrotic changes are present and are usually extensive.  Grade III lymphomatoid granulomatosis should be approached clinically as a subtype of diffuse large B-cell lymphoma.
Granular Cell Tumor of the Sellar Region	None	A generally benign intrasellar and/or suprasellar mass arising from the neurohypophysis or infundibulum.  It is composed of nests of large cells with granular, eosinophilic cytoplasm due to abundant intracytoplasmic lysosomes. It generally has a slow progression and lacks invasive growth. (Adapted from WHO)
Granulosa Cell-Theca Cell Tumor	None	A general term used to describe sex cord-stromal tumors characterized by the presence of granulosa cells in a thecomatous/fibrothecomatous background.
Halo Nevus	None	A benign melanocytic nevus with a halo appearance.
Hemangioblastic Meningioma	None	An obsolete term referring to hemangiopericytoma of the central nervous system.
Hemangioendothelioma	None	A vascular proliferation characterized by the presence of prominent endothelial cells and the formation of vascular channels. Hemangioendotheliomas may display borderline or low grade characteristics.
Hemolymphangioma	None	A hemorrhagic lymphatic lesion characterized by the presence of dilated lymphatic spaces, extravasation of red blood cells, hemosiderin deposition, and fibrosis.
Hepatocellular Adenoma	None	A benign epithelial neoplasm arising from the hepatocytes. Grossly, it appears as a soft, round mass which often contains areas of hemorrhage and necrosis. Morphologically, the neoplastic cells resemble normal hepatocytes and form plates separated by sinusoids. Most patients have a history of contraceptive or anabolic steroids use.
Hepatoid Adenocarcinoma	None	An adenocarcinoma with morphologic characteristics similar to hepatocellular carcinoma, arising from an anatomic site other than the liver.
Hereditary Leiomyomatosis and Renal Cell Carcinoma	None	An autosomal dominant inherited syndrome caused by germline mutations in the FH gene. It is characterized by predisposition to leiomyomas of the skin and uterus, renal cell carcinoma, and leiomyosarcoma of the uterus.
Hibernoma	None	A rare benign slow growing adipose tissue tumor, characterized by the presence of polygonal brown fat cells with multivacuolated and/or granular cytoplasm.  The tumor is usually painless and is most often seen in young adults.
Hidradenoma Papilliferum	None	A benign neoplasm arising from the sweat glands. It presents as a slow growing cystic nodular lesion most often in the skin of the vulva and the perianal region. It is characterized by the presence of cystic and large papillary structures. The papillary structures contain connective tissue and are covered by two layers of epithelium. Complete excision is curative.
Hidrocystoma	None	A benign cystic proliferation of the sweat glands with apocrine or eccrine differentiation. It usually presents as a dome-shaped, cystic papular or nodular lesion usually in the face and neck. It is a unilocular or mutlilocular lesion lined by an inner and an outer layer of epithelium. Complete excision is usually curative.
High Grade Squamous Intraepithelial Neoplasia	None	A precancerous neoplastic process characterized by the presence of moderate or severe dysplastic cytological changes which extend to the upper part of the squamous epithelium.  Maturation at the surface of the squamous epithelium may or may not be present.  Representative examples include the high grade esophageal squamous intraepithelial neoplasia, high grade cervical squamous intraepithelial neoplasia, high grade vaginal intraepithelial neoplasia, and high grade vulvar intraepithelial neoplasia.
Hilar Cholangiocarcinoma	None	A cholangiocarcinoma arising from the hilar ducts located at the hilar area of the liver.
Histiocytoma	None	A mesenchymal tumor composed of fibroblastic and histiocytic cells.
Hodgkin's Granuloma	None	An obsolete term that refers to cases of Hodgkin lymphoma excluding cases that were classified as Hodgkin's paragranuloma and Hodgkin's sarcoma.
Human Papillomavirus-Independent Cervical Adenocarcinoma, Gastric-Type	None	Cervical adenocarcinoma characterized by the presence of gastric differentiation. It is not associated with human papillomavirus infection.
Human Papillomavirus-Related Squamous Cell Carcinoma	None	A squamous cell carcinoma associated with the presence of human papillomavirus infection.
Hydroa Vacciniforme-Like Lymphoproliferative Disorder	None	A rare, EBV-positive cutaneous T-cell lymphoproliferative disorder, composed of CD8 positive cytotoxic T-lymphocytes.  It affects children, almost exclusively in Latin America and Asia. Patients present with papulovesicular skin lesions, clinically resembling hydroa vacciniforme, in areas of sun-exposed skin.
Immunoblastic Lymphoma	None	A diffuse large B-cell lymphoma characterized by the presence of immunoblasts with uniformly round-to-oval nuclei, a prominent nucleolus, and abundant cytoplasm.
In Situ Mantle Cell Neoplasia	None	A neoplastic lymphoid process characterized by the presence of cyclin D1 positive lymphoid cells, typically in the inner mantle zones of lymphoid tissue follicles, in cases that do not suggest the diagnosis of a mantle cell lymphoma. It is often found incidentally and has a low rate of progression.
Indolent T-Cell Lymphoproliferative Disorder of the Gastrointestinal Tract	None	A clonal lymphoproliferative disorder affecting many sites of the gastrointestinal tract. It can be derived from either CD8 or less often CD4 positive T cells. It has an indolent clinical course.
Inflammatory Myofibroblastic Tumor	None	A multinodular intermediate fibrocytic neoplasm that arises from soft tissue or viscera, in children and young adults.  It is characterized by the presence of spindle-shaped myofibroblasts, and a chronic inflammatory infiltrate composed of eosinophils, lymphocytes, and plasma cells.
Intermediate Immature Teratoma	None	An immature teratoma characterized by the presence of an intermediate amount of undifferentiated tissues.
Intestinal-Type Adenocarcinoma	None	An adenocarcinoma arising from epithelium which has undergone intestinal metaplasia. Representative examples include gastric, gallbladder, and ampulla of Vater intestinal type adenocarcinomas.
Intraductal Papillomatosis	None	A neoplastic process characterized by the presence of multiple intraductal papillomas.
Intraepidermal Epithelioma of Jadassohn	None	A rare cutaneous lesion presenting as a scaly verrucous plaque. Morphologically, the plaque contains nests of basaloid cells.
Intramuscular Lipoma	None	A benign tumor, composed of mature adipocytes, that arises within skeletal muscle fibers.
Intratubular Large Cell Hyalinizing Sertoli Cell Neoplasia	None	A clinically benign intratubular neoplastic proliferation of large Sertoli cells in the testis. It is associated with prominent basement membrane deposits. It occurs almost exclusively in patients with Peutz-Jeghers syndrome.
Invasive Breast Carcinoma of No Special Type	None	A term that refers to a large and heterogeneous group of invasive breast carcinomas that cannot be classified morphologically as any of the special histological types. (WHO 2019)
Invasive Breast Micropapillary Carcinoma	None	An invasive breast carcinoma characterized by the presence of clusters of malignant cells located within artifactual clear stromal spaces that resemble vascular spaces.
Invasive Hydatidiform Mole	None	A complete hydatidiform mole or very rarely a partial mole that invades the myometrium.
Invasive Sarcomatoid Urothelial Carcinoma	None	An invasive urothelial carcinoma that exhibits spindle cell sarcomatoid features.
Junctional Nevus	None	A nevus characterized by the presence of an intraepidermal proliferation of nevus cells. The nevus cells form multiple nests in the dermal-epidermal junction. It presents as a small, slightly raised, pigmented skin lesion.
Juvenile Granulosa Cell Tumor	None	A granulosa cell tumor occurring in the ovary and testis. In females it occurs predominantly in the first three decades of life and presents unilaterally as stage I disease in the vast majority of cases. It is characterized by the presence of granulosa cells forming macrofollicular structures. The majority of cases have a good prognosis. In males it represents the most frequent congenital testicular neoplasm and the vast majority of cases occur in the perinatal period. It presents as a scrotal or abdominal mass and it more often affects the left testis. Approximately 20% of the patients have ambiguous external genitalia. It is characterized by the presence of cystic spaces lined by granulosa cells and cells resembling theca cells. Metastases have not been reported.
Juvenile Testicular Granulosa Cell Tumor	None	A rare, benign sex cord-stromal tumor that arises from the testis. It is the most frequent congenital testicular neoplasm and is usually diagnosed during the perinatal period. It usually presents as an asymptomatic scrotal or abdominal mass. Morphologically, it is characterized by the presence of cysts that are lined by cells resembling granulosa and theca cells.
Kaposi Sarcoma	None	A malignant neoplasm characterized by a vascular proliferation which usually contains blunt endothelial cells. Erythrocyte extravasation and hemosiderin deposition are frequently present. The most frequent site of involvement is the skin however, it may also occur internally.  It generally develops in people with compromised immune systems including those with acquired immune deficiency syndrome (AIDS).
Lactating Adenoma	None	A tubular type adenoma of the breast in which, during pregnancy and lactation, the epithelial cells show extensive secretory changes.
Langerhans Cell Histiocytosis, Disseminated	None	Langerhans cell histiocytosis presenting with disseminated disease.
Langerhans Cell Sarcoma	None	A neoplastic proliferation of Langerhans cells with overtly malignant cytologic features.  It can be considered a higher grade variant of Langerhans cell histiocytosis (LCH) and it can present de novo or progress from antecedent LCH. (WHO, 2001) -- 2003
Large Cell Carcinoma	None	A malignant epithelial neoplasm composed of large, atypical cells.
Large Cell Neuroendocrine Carcinoma	None	A usually aggressive carcinoma composed of large malignant cells which display neuroendocrine characteristics. It is characterized by the presence of high mitotic activity and necrotic changes. The vast majority of cases are positive for neuron-specific enolase. Representative examples include lung, breast, cervical, and thymic neuroendocrine carcinomas.
Leiomyoma	None	A well-circumscribed benign smooth muscle neoplasm characterized by the presence of spindle cells with cigar-shaped nuclei, interlacing fascicles, and a whorled pattern.
Lentigo Maligna Melanoma	None	(A melanoma of the skin characterized by single cell infiltration of the papillary dermis by atypical melanocytes, in a background of lentigo maligna changes.
Lepidic Adenocarcinoma	None	A lung adenocarcinoma characterized by the presence of mildly and moderately differentiated adenocarcinoma cells across the alveolar walls with at least one focus of invasive carcinoma measuring more than 5 mm in greatest dimension.
Linitis Plastica	None	A cancer-related condition in which the gastric wall becomes thickened and rubbery (leather-bottle stomach). It is most often associated with diffuse gastric adenocarcinomas.
Lipoadenoma	None	An adenoma in which the neoplastic epithelial cells are admixed with adipose tissue cells.
Lipofibromatosis	None	A rare, slow-growing, painless tumor of infancy and early childhood that usually affects the distal extremities. It is characterized by the presence of alternating bands of mature adipose tissue and spindle-cell fibrous tissue, without destruction of the adipose tissue architecture. It does not metastasize, however the rate of local recurrences is high.
Liposarcoma	None	A usually painless malignant tumor that arises from adipose tissue.  Microscopically, it may contain a spectrum of neoplastic adipocytes ranging from lipoblasts to pleomorphic malignant adipocytes.  Representative morphologic variants include: well differentiated, dedifferentiated, pleomorphic, and myxoid/round cell liposarcoma.  The metastatic potential is higher in less differentiated tumors.
Liver Embryonal Sarcoma	None	A rare malignant tumor of the liver, the incidence of which is highest in children between 6 and 10 years of age.
Low Grade Central Osteosarcoma	None	A low grade osteosarcoma arising from the medullary portion of the bone. The tumor affects the long bones and is characterized by the presence of fibroblastic stroma and osteoid production. Pain and swelling are the usual sign and symptom. The prognosis is more favorable than conventional osteosarcoma.
Low Grade Myofibroblastic Sarcoma	None	A low grade malignant neoplasm arising from the deep soft tissues.  It is characterized by the presence of spindle-shaped myofibroblasts and collagenous stroma formation in a storiform growth pattern.  Metastasis is very rare.
Low-CSD Melanoma	None	A type of melanoma that typically occurs in light-skinned individuals ranging in age from young adults to the elderly.  Risk factors include extensive sun exposure during childhood, a family history of melanoma, and the presence of dysplastic nevi.
Lung Colloid Adenocarcinoma	None	A morphologic variant of lung adenocarcinoma characterized by the presence of mucin pools containing islands of well differentiated adenocarcinoma cells.
Lung Inflammatory Myofibroblastic Tumor	None	An intermediate fibroblastic neoplasm arising from the lung.  It is characterized by the presence of spindle-shaped fibroblasts and myofibroblasts, and a chronic inflammatory infiltrate composed of eosinophils, lymphocytes and plasma cells.
Lung Micropapillary Adenocarcinoma	None	An aggressive variant of lung adenocarcinoma that exhibits a micropapillary architectural pattern. The prognosis is usually poor.
Lung Non-Mucinous Adenocarcinoma In Situ	None	Lung adenocarcinoma in situ characterized by the presence of type II pneumocyte and/or Clara cell differentiation. Almost all cases of lung adenocarcinoma in situ are non-mucinous.
Lymphangioleiomyoma	None	A neoplasm with perivascular epithelioid cell differentiation, often associated with tuberous sclerosis. It is characterized by the presence of smooth muscle and epithelioid cells and by the proliferation of lymphatic vessels. Sites of involvement include the lymph nodes, lung, mediastinum, and retroperitoneum.
Lymphangiosarcoma	None	A malignant neoplasm arising from the endothelial cells of the lymphatic vessels.
Lymphocyte-Depleted Classic Hodgkin Lymphoma	None	A diffuse form of classical Hodgkin lymphoma which is rich in Hodgkin and Reed-Sternberg cells and/or depleted in non-neoplastic lymphocytes.  Historically, the clinical course of this type of Hodgkin lymphoma was aggressive.  With current therapy, the course is comparable to patients with other subtypes of classical Hodgkin lymphoma.  Most patients present with advanced stage disease (Stage III or IV) and B-symptoms. (WHO, 2001) -- 2004
Lymphoid Leukemia	None	A malignant lymphocytic neoplasm of B-cell or T-cell lineage involving primarily the bone marrow and the peripheral blood.  This category includes precursor or acute lymphoblastic leukemias and chronic leukemias.
Lymphoplasmacytic Lymphoma	None	A clonal neoplasm of small B-lymphocytes, lymphoplasmacytoid cells, and plasma cells involving the bone marrow, lymph nodes, and the spleen. The majority of patients have a serum IgM paraprotein.
Malignancy in Giant Cell Tumor of Bone	None	A high grade aggressive bone tumor, usually arising in the end of long bones. The tumor is composed of round or oval mononuclear cells, uniformly distributed osteoclast-like giant cells, and a sarcomatous spindle cell component. Clinical presentation includes pain and edema in the affected area.
Malignant Cell	None	Cells of, or derived from, a malignant tumor.
Malignant Giant Cell Neoplasm	None	A malignant neoplasm characterized by then presence of atypical giant cells.
Malignant Glomus Tumor	None	A very rare morphologic variant of glomus tumor with a size greater than 2 cm.  The tumor arises in subfascial or visceral tissues. It characterized by the presence of atypical mitotic figures, or marked nuclear atypia, or the combination of both.  It has an aggressive clinical course.
Malignant Histiocytosis	None	An antiquated term referring to cases of systemic non-Hodgkin lymphomas which are composed of large, atypical neoplastic lymphoid cells and cases of hemophagocytic syndromes. In the past, cases of anaplastic large cells lymphoma were called malignant histiocytosis.
Malignant Mastocytosis	None	Malignant neoplasm originating from mast cells.
Malignant Melanoma in Precancerous Melanosis	None	A melanoma arising from an atypical intraepithelial melanocytic hyperplasia.
Malignant Mesothelioma	None	A malignant neoplasm of the pleura or peritoneum, arising from mesothelial cells.  It is associated with exposure to asbestos.
Malignant Mixed Neoplasm	None	A malignant neoplasm composed of a carcinomatous epithelial component and a sarcomatous mesenchymal component. Representative examples include malignant mixed mesodermal (Mullerian) tumor of the female reproductive system and carcinosarcoma of the salivary gland and the lung.
Malignant Myoepithelioma	None	An infiltrating malignant epithelial neoplasm characterized by the presence of atypical cells with myoepithelial differentiation. Representative examples include malignant breast myoepithelioma and salivary gland myoepithelial carcinoma.
Malignant Neoplasm	None	A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues.  Malignant neoplasms usually metastasize to distant anatomic sites and may recur after excision.  The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin's and non-Hodgkin's lymphomas, leukemias, melanomas, and sarcomas. -- 2004
Malignant Ossifying Fibromyxoid Tumor	None	An ossifying fibromyxoid tumor characterized by the presence of high grade nuclear features or increased cellularity and more than two mitotic figures per 50 HPFs.
Malignant Ovarian Clear Cell Tumor	None	An invasive malignant neoplasm that arises from the ovary and is characterized by a predominance of clear and hobnail malignant epithelial cells.
Malignant Ovarian Thecoma	None	A thecoma of the ovary which may metastasize to another anatomic site. It is usually characterized by nuclear atypia and mitotic activity. Malignant thecomas are rare.
Malignant Peripheral Nerve Sheath Tumor with Perineurial Differentiation	None	A malignant peripheral nerve sheath tumor mainly composed of tumor cells showing perineurial cell differentiation.
Malignant Phyllodes Tumor	None	A phylodes tumor with sarcomatous stroma. The sarcomatous component is usually of the fibrosarcomatous type. Liposarcomatous, chondrosarcomatous, osteosarcomatous, or rhabdomyosarcomatous differentiation may also occur in the stroma. It may recur and metastasize following surgical resection. The lung and skeleton are the anatomic sites most frequently involved by metastases.
Malignant Solitary Fibrous Tumor	None	A malignant neoplasm of probable fibroblastic derivation. It is characterized by the presence of atypical round to spindle-shaped cells, increased cellularity, necrotic change and high mitotic activity.
Malignant Tenosynovial Giant Cell Tumor	None	An uncommon malignant tumor arising from the tendon sheath. Morphologically, it is characterized by the presence of a cellular infiltrate reminiscent of a giant cell tumor with prominent malignant characteristics. Recurrent giant cell tumors with a sarcomatous dedifferentiation are included in this category as well.
Malignant Triton Tumor	None	A malignant peripheral nerve sheath tumor which shows rhabdomyosarcomatous differentiation. More than half of the patients have neurofibromatosis type 1. The prognosis is usually poor.
Malignant Tumor, Small Cell Type	None	A malignant neoplasm characterized by the presence of small atypical cells.
Malignant Type AB Thymoma	None	A type AB thymoma which is characterized by an aggressive clinical course (capsular invasion, infiltration of the surrounding tissues) and can metastasize.
Malignant Type B2 Thymoma	None	A type B2 thymoma which is characterized by an aggressive clinical course (capsular invasion, infiltration of the surrounding tissues) and can metastasize.
Marginal Zone Lymphoma	None	A usually indolent mature B-cell lymphoma, arising from the marginal zone of lymphoid tissues.  It is characterized by the presence of small to medium sized atypical lymphocytes.  It comprises three entities, according to the anatomic sites involved: extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue, which affects extranodal sites (most often stomach, lung, skin, and ocular adnexa); nodal marginal zone B-cell lymphoma, which affects lymph nodes without evidence of extranodal disease; and splenic marginal zone B-cell lymphoma, which affects the spleen and splenic hilar lymph nodes, bone marrow, and often the peripheral blood.
Mast Cell Sarcoma	None	A rare entity characterized by localized but destructive growth of a tumor consisting of highly atypical, immature mast cells.(WHO, 2001)
Medullary Carcinoma, Not Otherwise Specified	None	A term referring to medullary carcinomas which can develop in various anatomic sites such as the thyroid gland, breast, colon, rectum, and small intestine.
Medulloblastoma, Not Otherwise Specified	None	A medulloblastoma which has not been further characterized.
Medulloblastoma, WNT-Activated	None	A molecular subtype of medulloblastoma associated with activation of the WNT pathway. TP53 mutations may be present or absent. WNT pathway activation in medulloblastomas is associated with good outcome.
Medullomyoblastoma	None	Medullomyoblastoma (WHO grade IV) is a rare embryonal cerebellar neoplasm with both a primitive neuroectodermal and striated muscle component. Histologically, it is a medulloblastoma with focal myogenic differentiation. (Adapted from WHO.)
Melanoma Arising from Blue Nevus	None	A melanoma of the skin resembling a benign blue nevus.
Melanoma in Junctional Nevus	None	A melanoma arising from a melanocytic nevus which involves the dermal-epidermal junction of the skin.
Melanotic Neuroectodermal Tumor	None	A rare neoplasm usually occurring in infants.  It is characterized by the presence of a mixture of melanin-containing epithelial cells and smaller neuroblast-like cells.  It may involve the skull and facial bones, or the epididymis.  It usually has a benign clinical course.
Melanotic Schwannoma	None	A rare, circumscribed, non-encapsulated and grossly pigmented variant of schwannoma.  It is composed of cells with the immunophenotypic and electron microscopic features of Schwann cells which contain melanosomes and are positive for melanoma markers.
Meningeal Melanocytosis	None	A diffuse or multifocal proliferation of uniform nevoid polygonal cells in the leptomeninges. Cells may spread into the Virchow-Robin spaces without frank invasion of the brain. Diffuse melanocytosis carries a poor prognosis even in the absence of histologic malignancy. (WHO)
Meningeal Sarcomatosis	None	A rare condition characterized by diffuse spread of sarcoma cells throughout the meninges. The neoplastic cells are derived from meningeal connective tissue. Clinically, this disorder may present as a fulminant pachymeningitis and/or encephalitis.
Meningothelial Meningioma	None	A WHO grade I meningioma characterized by the presence of tumor cells that form lobules. The tumor cells are generally uniform. Whorls and psammoma bodies are usually not present.
Mesenchymal Chondrosarcoma	None	A rare morphologic variant of chondrosarcoma. It is characterized by the presence of malignant small round cells, biphasic growth pattern, and well differentiated hyaline cartilage. Clinical presentation includes pain and swelling. The clinical course is aggressive, with local recurrences and distant metastases.
Mesonephric Adenocarcinoma	None	An adenocarcinoma of the cervix or the vagina that derives from Wolffian duct remnants and shows mesonephric differentiation.
Metaplastic Carcinoma	None	A general term used to describe carcinomas arising from epithelial cells that have been transformed into another cells type (metaplastic epithelial cells). A representative example is the adenocarcinoma arising in Barrett esophagus. This term is also used to describe carcinomas in which the malignant epithelial cells show differentiation towards another cell type. A representative example of the latter is the metaplastic breast carcinoma in which the malignant glandular cells show squamous, spindle cell, or chondroid/osseous differentiation.
Metastasizing Chondroblastoma	None	A rare chondroblastoma that has metastasized to another anatomic site.
Metastatic Carcinoma	None	A carcinoma which has spread from the original site of growth to another anatomic site.
Metastatic Pituitary Neuroendocrine Tumor	None	A rare adenocarcinoma with poor prognosis, arising from the adenohypophysial cells of the anterior lobe of the pituitary gland or pre-existing adenomas.  The majority are hormonally functioning neoplasms, usually producing prolactin or ACTH.  The diagnosis is based on the presence of metastases.  Syndromes associated with pituitary gland carcinomas include hyperprolactinemia, Cushing disease, and acromegaly.
Metastatic Squamous Cell Carcinoma	None	A carcinoma that arises from squamous cells and has spread from its original site of growth to another anatomic site.
Microcystic Adnexal Carcinoma	None	A low grade adenocarcinoma with ductal differentiation, arising from the sweat glands. It presents as a scar usually in the face. It is characterized by the formation of small ducts and it frequently involves nerves and perineural spaces.
Micronodular Thymoma with Lymphoid Stroma	None	A rare type of thymoma characterized by the presence of multiple, well formed epithelial nodules separated by a lymphocytic stroma that usually contains germinal centers.  Reported cases have not been associated with recurrences or metastases.
Micropapillary Transitional Cell Carcinoma	None	A transitional cell carcinoma characterized by a micropapillary growth pattern. Typical example is the micropapillary variant of infiltrating bladder urothelial carcinoma.
Middle Ear Paraganglioma	None	A jugulotympanic paraganglioma arising from paraganglia in the middle ear.
Minimally Invasive Lung Mixed Non-Mucinous and Mucinous Adenocarcinoma	None	A rare morphologic variant of bronchiolo-alveolar lung carcinoma characterized by the presence of both mucin and non-mucin producing cells.
Minimally Invasive Lung Non-Mucinous Adenocarcinoma	None	A morphologic variant of bronchiolo-alveolar lung carcinoma characterized by the presence of Clara cells and/or type II cells.
Mixed Cell Adenoma	None	An adenoma characterized by the presence of a mixed epithelial cell population.
Mixed Embryonal Carcinoma and Teratoma	None	A type of germ cell cancer that usually forms in the testes (testicles).
Mixed Germ Cell-Sex Cord-Stromal Tumor	None	A biphasic neoplasm that arises from the ovary or the testis. It is characterized by the presence of neoplastic germ cells and neoplastic sex cord-stromal cells. It includes the gonadoblastoma and mixed germ cell-sex cord stromal tumor, unclassifiable.
Mixed Mesodermal (Mullerian) Tumor	None	A group of tumors affecting the female reproductive system, characterized by the presence of epithelial and stromal elements. It includes the following clinicopathological entities: adenofibroma, adenomyoma, Mullerian adenosarcoma, and malignant mixed mesodermal (Mullerian) tumor.
Mixed Phenotype Acute Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1	None	A rare mixed phenotype acute leukemia in which the blasts carry a translocation between the KMT2A gene at 11q23.3 and another gene partner. The prognosis is usually unfavorable.
Mixed Phenotype Acute Leukemia, B/Myeloid, Not Otherwise Specified	None	A rare mixed phenotype acute leukemia in which the blasts express T-lymphoid and myeloid lineage markers but are negative for KMT2A rearrangement and t(9;22)(q34;q11.2) translocation. The prognosis is usually unfavorable.
Moderately Differentiated Ovarian Sertoli-Leydig Cell Tumor, Variant with Heterologous Elements	None	An ovarian Sertoli-Leydig cell tumor of intermediate differentiation, characterized by the presence of a heterologous component, usually consisting of cartilage, skeletal muscle, or rhabdomyosarcoma.
Monoclonal B-Cell Lymphocytosis	None	A monoclonal expansion of B-lymphocytes with or without the characteristic immunophenotype of chronic lymphocytic leukemia.
Monoclonal Immunoglobulin Deposition Disease	None	A plasma cell neoplasm characterized by the deposition of immunoglobulin in tissues, resulting in impaired organ function. It includes the following entities: primary amyloidosis, heavy chain deposition disease, and light chain deposition disease.
Mucinous Adenocarcinoma	None	An invasive adenocarcinoma composed of malignant glandular cells which contain intracytoplasmic mucin. Often, the infiltrating glandular structures are associated with mucoid stromal formation. It may arise from the large and small intestine, appendix, stomach, lung, ovary, breast, corpus uteri, cervix, vagina, and salivary gland.
Mucinous Cystadenocarcinoma	None	An invasive adenocarcinoma characterized by cystic changes and the presence of malignant glandular cells which contain intracytoplasmic mucin. It may arise from the ovary, pancreas, appendix, and lung.
Mucoepidermoid Carcinoma	None	A carcinoma morphologically characterized the presence of cuboidal mucous cells, goblet-like mucous cells, squamoid cells, cystic changes, and a fibrotic stromal formation. It can occur in several anatomic sites, including parotid gland, oral cavity, paranasal sinus, skin, breast, lung, larynx, and lacrimal ducts. It is classified as low or high grade.
Multilocular Cystic Renal Neoplasm of Low Malignant Potential	None	A rare type of renal cell carcinoma.  It is a well-circumscribed multicystic mass without solid areas.  The inner lining of the cystic structures is composed of clear cells.
Multiple Endocrine Neoplasia	None	An autosomal dominant inherited neoplastic syndrome characterized by the development of various endocrine neoplasms and abnormalities in various anatomic sites. There are three types recognized: type 1 (MEN 1), caused by inactivation of the tumor suppressor gene MEN-1, type 2A (MEN 2A), caused by mutation of the RET gene, and type 2B (MEN 2B) also caused by mutation of the RET gene. Patients with MEN 1 may develop hyperparathyroidism and parathyroid gland adenomas, pituitary gland adenomas, pancreatic islet cell neoplasms, and carcinoid tumors. Patients with MEN 2A develop medullary thyroid carcinomas, and may also develop pheochromocytomas and parathyroid gland hyperplasia. Patients with MEN 2B develop medullary thyroid carcinomas and numerous neural defects including neuromas.
Mycosis Fungoides	None	A peripheral (mature) T-cell lymphoma presenting in the skin with patches/plaques. It is characterized by epidermal and dermal infiltration of small to medium-sized T-cells with cerebriform nuclei.  Patients with limited disease generally have an excellent prognosis.  In the more advanced stages, the prognosis is poor. (WHO, 2001)
Myelodysplastic Syndrome with Excess Blasts	None	Myelodysplastic syndrome characterized by the presence of 5-9% blasts in bone marrow and 2-9% blasts in peripheral blood.
