PERMITTED_VALUE	DESCRIPTION	DEFINITION
POLG	POLG Gene	This gene plays a role in the replication of mitochondrial DNA.
POLE	POLE Gene	This gene is involved in both DNA replication and DNA base-excision repair.
POLD1	POLD1 Gene	This gene is involved in DNA replication and proofreading.
PMS2	PMS2 Gene	This gene is involved in mismatch repair and mutations in the gene result in hereditary non-polyposis colon cancer 4.
PMS1	PMS1 Gene	This gene is involved in mismatch repair and mutations in the gene result in hereditary non-polyposis colon cancer 3.
PML	PML Gene	This gene plays a role in tumor suppression and is involved in the regulation of p53 in response to oncogenic signal transduction.
CD274	CD274 Gene	This gene is involved in T cell activation and proliferation.
CD209	CD209 Gene	This gene plays a role in the regulation of host defense responses and mediates pathogen-binding properties.
CCR7	CCR7 gene	This gene plays a role in immune function.
CCNE1	CCNE1 Gene	This gene regulates the G1/S phase of the cell cycle by cyclin expression.
CCND3	CCND3 Gene	This gene is involved in cell cycle progression.
CCND2	CCND2 Gene	This gene is involved in the regulation of the G1/S phase of the cell cycle.
CCND1	CCND1 Gene	This gene plays a role in the regulation of mitotic events.
CCNC	CCNC Gene	This gene plays a role in the modulation of gene transcription.
CCNB1IP1	CCNB1IP1 Gene	This gene plays a role in both ubiquitination and cell cycle progression.
CCDC6	CCDC6 Gene	This gene may play a role in tumor suppression.
CBLC	CBLC Gene	This gene is involved in both ubiquitination and signaling.
CBLB	CBLB Gene	This gene plays a role in the regulation of T cell activation.
CBL	CBL Gene	This gene plays a role in signal transduction and the regulation of protein degradation.
CBFB	CBFB Gene	This gene is involved in hematopoiesis and osteogenesis.
CBFA2T3	CBFA2T3 Gene	This gene plays a role in transcriptional regulation.
CASP8	CASP8 Gene	This gene is involved in apoptosis, immune cell homeostasis, lymphocyte activation and immunoprotection.
CARS	CARS Gene	This gene is involved in transfer RNA metabolism.
CARD11	CARD11 Gene Immunodeficiency Syndrome	This gene plays a role in apoptotic regulation.: A deficiency of immune response or a disorder characterized by deficient immune response.
CANT1	CANT1 Gene	This gene plays a role in both nucleotide hydrolysis and signal transduction.
CAMTA1	CAMTA1 Gene	This gene is involved in both DNA binding and transcription.
PIM1	PIM1 Gene	This gene is involved in apoptosis, cell cycle regulation and signal transduction.
PIK3R1	PIK3R1 Gene	This gene is involved in phosphoinositol signaling.
OLIG2	OLIG2 Gene	This gene is involved in transcriptional regulation and oligodendrocyte and motor neuron differentiation. This gene may play a role in the development of brain tumors.
MDM4	MDM4 Gene	This gene plays a role in cell cycle arrest.
MAX	MAX Gene	This gene is involved in transcriptional regulation and plays a role in the mediation of DNA-protein interactions.
MAPK1	MAPK1 Gene	This gene plays a role in signal transduction and positive regulation of the cell cycle.
MTOR	MTOR Gene	This gene plays a role in apoptosis, cell growth, differentiation and proliferation.
WDCP	WDCP Gene	This gene plays a role in binding to tyrosine-protein kinase HCK.
KNL1	KNL1 Gene	This gene is involved in both signaling and chromosome alignment in mitosis.
SHTN1	SHTN1 Gene	This gene is involved in neuronal polarization.
SNX29	SNX29 Gene	This gene may be involved in signal transduction or lipid binding.
NSD2	NSD2 Gene	This gene plays a role in histone-lysine methylation.
NSD3	NSD3 Gene	This gene is involved in histone methylation.
PATZ1	PATZ1 Gene	This gene is involved in transcriptional regulation.
SIRPA	SIRPA Gene	This gene is involved in cellular signal transduction and tyrosine kinase-coupled signaling processes.
SH3GL1	SH3GL1 Gene	This gene may be involved in endocytosis.
SH2B3	SH2B3 Gene	This gene plays a role in T-cell activation.
SGK1	SGK1 Gene	This gene plays a role in both protein phosphorylation and cellular stress response.
SFPQ	SFPQ Gene	This gene may be involved in both transcriptional regulation and nuclear RNA processing.
SF3B1	SF3B1 Gene	This gene is involved in mRNA splicing.
SETD2	SETD2 Gene	This gene is involved in epigenetic control of gene expression.
SETBP1	SETBP1 Gene	This gene may be involved in the modulation of protein SET activity.
SET	SET Gene	This gene is involved in apoptosis, biogenesis, DNA replication and nuclear organization.
SDHD	SDHD Gene	This gene plays a role in the localization of succinate dehydrogenase activity.
SDHC	SDHC Gene	This gene is involved in mitochondrial electron transport.
SDHB	SDHB Gene	This gene plays a role in electron transport in the mitochondria.
SDHAF2	SDHAF2 Gene	This gene is involved in the electron transport chain.
SDHA	SDHA Gene	This gene is involved in the mitochondrial respiratory chain.
SDC4	SDC4 Gene	This gene is involved in cell-matrix interactions.
SBDS	SBDS Gene	This gene plays a role in ribosome formation.
SALL4	SALL4 Gene	This gene plays a role in both transcriptional regulation and stem cell maintenance.
S100A7	S100A7 Gene	This gene is involved in both calcium binding and antimicrobial activity.
RUNX1T1	RUNX1T1 Gene	This gene plays a role in transcriptional regulation and hematopoiesis.
RUNX1	RUNX1 Gene	This gene plays a role in transcriptional regulation and cytogenetic aberrations are associated with several leukemias.
RSPO3	RSPO3 Gene	This gene is thought to be involved in transport; however, a function has yet to be elucidated.
RSPO2	RSPO2 Gene	This gene plays a role in both Wnt signaling and embryonic morphogenesis.
RPN1	RPN1 Gene	This gene plays a role in post-translational protein modification.
RPL5	RPL5 Gene	This gene plays a role in ribosome assembly.
RPL22	RPL22 Gene	This gene is involved in translation.
RPL10	RPL10 Gene	This gene plays a role in protein biosynthesis. It is also involved in signal transduction.
ROS1	ROS1 Gene	This gene plays a role in receptor tyrosine phosphorylation signal transduction, and is thought to play a role in cellular growth or differentiation, but an exact function has not been substantiated.
ROBO2	ROBO2 Gene	This gene plays a role in ligand binding, axon guidance and cell migration.
RNF43	RNF43 Gene	This gene is involved in both protein ubiquitination and the Wnt signaling pathway.
RNF213	RNF213 Gene	This gene may be involved in ubiquitination.
MTCP1	MTCP1 Gene	This gene plays a role in the proliferation of T cells and is involved in cell cycle regulation.
MSN	MSN Gene Immunodeficiency Syndrome	This gene plays a role in both cell adhesion and cytoskeleton modeling.: A deficiency of immune response or a disorder characterized by deficient immune response.
MSI2	MSI2 Gene	This gene is involved in translational regulation.
MSH6	MSH6 Gene	This gene is involved in mismatch repair and plays a role in several cancers.
MSH2	MSH2 Gene	This gene plays a role in DNA mismatch repair mutations in the gene result in hereditary nonpolyposis colorectal cancer-1.
MPL	MPL Gene	This gene plays a regulatory role in megakaryocytopoiesis and platelet formation.
MNX1	MNX1 Gene	This gene plays a role in both the regulation of transcription and DNA binding.
MN1	MN1 Gene	This gene is involved in tumor suppression.
MLLT6	MLLT6 Gene	This gene is involved in transcriptional regulation and aberrations in the gene are associated with acute leukemias due to chromosomal translocations.
MLLT4	AFDN Gene	This gene is involved in cell adhesion and cytoskeletal modeling.
MLLT3	MLLT3 Gene	This gene plays a role in transcriptional regulation and translocations in the gene are associated with leukemia.
MLLT11	MLLT11 Gene	This gene is involved in mitochondrial functions.
MLLT10	MLLT10 Gene	This gene may be involved in transcriptional regulation.
MLLT1	MLLT1 Gene	This gene is involved in transcriptional regulation and translocations in the gene are associated with acute leukemia.
MLH1	MLH1 Gene	This gene plays a role in DNA mismatch repair.
MLF1	MLF1 Gene	This gene plays a role in both transcriptional regulation and cell cycle arrest.
MITF	MITF Gene	This gene is involved in transcriptional promotion in melanocytes.
MGMT	MGMT Gene	This gene is involved in DNA repair.
MET	MET Gene	This gene plays a regulatory role in the modulation of cell-surface receptors and hepatocyte growth factor interactions.
MEN1	MEN1 Gene	This gene is involved in transcriptional regulation and has tumor suppressor activity.
MED12	MED12 Gene	This gene plays a role in the regulation of RNA polymerase II-dependent transcription.
MECOM	MECOM Gene	This gene plays a role in transcriptional activation. Retroviral activation of the gene plays an important role in the translocations leading to myeloid leukemia/myelodysplastic syndrome.
MDS2	MDS2 Gene	This gene plays a role in myelodysplastic syndrome.
MDM2	MDM2 Gene	This gene plays a role in several cellular processes related to cellular viability; including the cell cycle and apoptosis.
MB21D2	MB21D2 Gene	This gene plays a role in protein-protein interactions.
MAP3K13	MAP3K13 Gene	This gene is involved in both protein phosphorylation and signaling.
MAP3K1	MAP3K1 Gene	This gene plays a role in mediating cellular responses to growth factors, metabolic stimuli and mitogens.
MAP2K4	MAP2K4 Gene	This gene is involved in MAPK signaling.
MAP2K2	MAP2K2 Gene	This gene plays a role in both protein phosphorylation and signal transduction.
MAP2K1	MAP2K1 Gene	This gene plays a role in signal transduction and regulation of transcription. It is also involved in cell differentiation, growth and proliferation.
MAML2	MAML2 Gene	This gene plays a role in transcriptional regulation and signal transduction.
MALT1	MALT1 Gene Immunodeficiency Syndrome	This gene plays a role in signal transduction and in the pathology of mucosa-associated lymphoid tissue lymphomas.: A deficiency of immune response or a disorder characterized by deficient immune response.
MALAT1	MALAT1 Gene	This gene may play a role in carcinogenesis.
MAFB	MAFB Gene	This gene plays a role in both hematopoiesis and transcriptional modulation.
MAF	MAF Gene	This gene plays a role in transcriptional regulation and cellular differentiation.
LZTR1	LZTR1 Gene	This gene may be involved in Golgi stabilization, embryogenesis or transcriptional regulation.
PTPN6	PTPN6 Gene	This gene plays a role in the regulation of multiple signaling pathways in hematopoietic cells.
PTPN13	PTPN13 Gene	This gene is involved in both protein dephosphorylation and signal transduction.
PTPN11	PTPN11 Gene	This gene plays a role in the regulation of cell signaling. It is involved in cell migration, metabolic control, mitogenic activation and gene transcription.
LYL1	LYL1 Gene	This gene plays a role in transcriptional regulation and is involved in the pathogenesis of acute lymphoblastic leukemia.
LSM14A	LSM14A Gene	This gene plays a role in the storage of mRNA.
LRP1B	LRP1B Gene	This gene plays a role in low density lipoprotein metabolism.
LRIG3	LRIG3 Gene	This gene may be involved in signaling.
LPP	LPP Gene	This gene may be involved in cell shape and cell motility.
LMO2	LMO2 Gene	This gene plays a crucial role in hematopoietic development and is involved in transcriptional activation.
LMO1	LMO1 Gene	This gene is involved in the regulation of transcription.
LIFR	LIFR Gene	This gene plays a critical role in cell fate and proliferation in both embryonic and adult cells.
LHFP	LHFPL6 Gene	This gene may play a role in cell adhesion or cell proliferation.
LEF1	LEF1 Gene	This gene plays a role in both signal transduction and transcription.
LCP1	LCP1 Gene	This gene plays a role in cytoskeletal remodeling.
LCK	LCK Gene	This gene is involved in signal transduction and the development/function of T cells.
LASP1	LASP1 Gene	This gene is involved in actin-dependent ion transport.
LARP4B	LARP4B Gene	This gene is involved in RNA metabolism and translation.
KTN1	KTN1 Gene	This gene plays a role in kinesin function.
KRAS	KRAS Gene	This gene is involved in signal transduction and apoptosis.
KNSTRN	KNSTRN Gene	This gene plays a role in both mitotic spindle formation and chromosome segregation.
FIP1L1	FIP1L1 Gene	This gene is involved in mRNA processing.
FHIT	FHIT Gene	This gene is involved in nucleotide metabolism and cell cycle control.
FH	FH Gene	This gene plays a role in the Krebs cycle.
FGFR4	FGFR4 Gene	This gene plays a role in mitogenesis and differentiation.
FGFR3	FGFR3 Gene	This gene plays a role in bone development and maintenance and mutations in the gene are associated with craniosynostosis and several types of skeletal dysplasia.
FGFR2	FGFR2 Gene	This gene plays a role in mitogenesis and differentiation and mutations in the gene are associated with craniosynostotic syndromes and bone malformations.
FGFR1OP	FGFR1OP Gene	This gene is involved in the regulation of cell shape, polarity and motility.
FGFR1	FGFR1 Gene	This gene plays a role in mitogenesis and differentiation.
FEV	FEV Gene	This gene may play a role in transcriptional repression.
FES	FES Gene	This gene is involved in hematopoiesis and the maintenance of cellular transformation.
FEN1	FEN1 Gene	This gene is involved in DNA replication and repair.
FCRL4	FCRL4 Gene	This gene may be involved in B cell receptor signaling.
FCGR2B	FCGR2B Gene	This gene plays a role in the inhibition of immune functions and cellular proliferation.
FBXW7	FBXW7 Gene	This gene is involved in ubiquitin-dependent proteolysis and regulation of the G1-S cell cycle checkpoint.
FBXO11	FBXO11 Gene	This gene plays a role in the recognition of proteins to be ubiquitinylated.
FBLN2	FBLN2 Gene	This gene plays a role in protein-protein interactions in the extracellular matrix.
FAT4	FAT4 Gene	This gene plays a role in planar cell polarity.
FAT3	FAT3 Gene	This gene is involved in cell adhesion and neurite development.
FAT1	FAT1 Gene	This gene is involved in both cellular polarization and cell-cell adhesion.
FAS	FAS Gene	This gene is involved in the mediation of cellular surface receptors and apoptotic signals.
FANCG	FANCG Gene	This gene is involved in the maintenance of genomic integrity and nuclear signal transduction. Allelic variants of the gene are involved in Fanconi syndrome.
FANCF	FANCF Gene	This gene may be involved in the regulation of DNA repair.
FANCE	FANCE Gene	This gene plays a role in the regulation of both DNA repair and protein localization.
FANCD2	FANCD2 Gene	This gene is involved in the regulation of meiosis, DNA repair and the cell cycle.
FANCC	FANCC Gene	This gene may play a role in DNA cross-link repair.
FANCA	FANCA Gene	This gene may be involved in the mediation of DNA repair.
FAM47C	FAM47C Gene	This gene has no known function.
FAM46C	FAM46C Gene	This gene may play a role in malignant melanoma.
FAM135B	FAM135B Gene	This gene may play a role in the metabolism of lipids.
FAM131B	FAM131B Gene	This gene has not been characterized.
EZR	EZR Gene	This gene plays a role in cellular structure.
EZH2	EZH2 Gene	This gene plays a role in chromatin remodeling and transcriptional regulation.
EXT2	EXT2 Gene	This gene is involved in the heparin/heparin sulfate biosynthesis, cell organization/biogenesis and development of the cytoskeleton in chondrocytes.
EXT1	EXT1 Gene	This gene plays a role in heparin/heparin sulfate biosynthesis, axon guidance and biogenesis/cell organization.
EWSR1	EWSR1 Gene	This gene may play a role in post-transcriptional regulation; however the function remains to be elucidated. Mutations in the gene result in Ewing sarcoma and other tumors.
ETV6	ETV6 Gene	This gene plays a regulatory role in transcription and in matrix metalloproteinase activity.
ETV5	ETV5 Gene	This gene plays a role in the regulation of gene transcription.
ETV4	ETV4 Gene	This gene plays a regulatory role in transcription and in matrix metalloproteinase activity.
ETV1	ETV1 Gene	This gene is involved in transcriptional activation and spinal cord development.
KMT2D	KMT2D Gene	This gene plays a role in co-activation of gene expression.
KMT2C	KMT2C Gene 	This gene plays a role in both methylation and transcriptional regulation
KMT2A	KMT2A Gene	This gene is involved in transcriptional regulation and alterations in the gene are associated with acute lymphoblastic leukemia.
KLK2	KLK2 Gene	This gene plays a role in proteolysis.
KLF6	KLF6 Gene	This gene plays a role in transcriptional activation.
KLF4	KLF4 Gene	This gene plays a role in gene transcription.
KIT	KIT Gene	This gene plays a role in cellular hematopoiesis and differentiations. Mutations in the gene are associated with several diseases, including acute myelogenous leukemia, gastrointestinal tumors, and mast cell disease.
KIF5B	KIF5B Gene	This gene is involved in the transport of vesicles along microtubules.
KIAA1549	KIAA1549 Gene	This gene may play a role in brain functions.
KEAP1	KEAP1 Gene	This gene is involved in ubiquitin-mediated protein degradation.
KDR	KDR Gene	This gene plays a role in angiogenesis and vascular regulation.
KDM6A	KDM6A Gene	This gene is involved in the modulation of histone methylation.
KDM5C	KDM5C Gene	This gene is involved in histone modification.
KDM5A	KDM5A Gene	This gene plays a role in transcriptional modulation.
KCNJ5	KCNJ5 Gene	This gene is involved in ion transport.
KAT7	KAT7 Gene	This gene is involved in epigenetic control of gene expression.
KAT6B	KAT6B Gene	This gene plays a role in both transcription and histone acetylation.
KAT6A	KAT6A Gene	This gene is involved in both histone acetylation and transcriptional regulation.
JUN	JUN Gene	This gene plays a critical role in transcriptional regulation and cellular growth.
JAZF1	JAZF1 Gene	This gene may be involved in transcriptional regulation.
JAK3	JAK3 Gene	This gene plays a role in signal transduction.
JAK2	JAK2 Gene	This gene is involved in erythropoiesis and signal transduction.
JAK1	JAK1 Gene	This gene plays a role in signal transduction.
ITK	ITK Gene	This gene is involved in the differentiation and proliferation of T cells.
ITGAV	ITGAV Gene	This gene plays a role in cell communication and angiogenesis.
ISX	ISX Gene	This gene is involved in gene expression regulation in the intestine.
IRS4	IRS4 Gene	This gene plays a role in signal transduction and ligand binding.
IRF4	IRF4 Gene	This gene is involved in the regulation of B-cell differentiation and proliferation. It also plays a role in mediating the proliferation of mitogen-stimulated T cells.
IL7R	IL7R Gene	This gene is involved in the regulation of lymphopoiesis.
IL6ST	IL6ST Gene	This gene plays a role in signal transduction and is putatively involved in embryonic development.
IL21R	IL21R Gene Immunodeficiency Syndrome	This gene is involved in cytokine recognition.: A deficiency of immune response or a disorder characterized by deficient immune response.
IL2	IL2 Gene	This gene is involved in growth and lymphokine regulation.
IKZF1	IKZF1 Gene Immunodeficiency Syndrome	This gene is involved in B-cell and T-cell maturation.: A deficiency of immune response or a disorder characterized by deficient immune response.
IKBKB	IKBKB Gene Immunodeficiency Syndrome	This gene is involved in protein phosphorylation.: A deficiency of immune response or a disorder characterized by deficient immune response.
IGL	Immunoglobulin Lambda Locus	This region represents the germline organization of the lambda light chain locus. The locus includes V (variable), J (joining), and C (constant) segments. During B cell development, a recombination event at the DNA level joins a single V segment with a J segment; the C segment is later joined by splicing at the RNA level. Recombination of many different V segments with several J segments provides a wide range of antigen recognition. Additional diversity is attained by junctional diversity, resulting from the random additional of nucleotides by terminal deoxynucleotidyltransferase, and by somatic hypermutation, which occurs during B cell maturation in the spleen and lymph nodes. (from LocusLink)
ETNK1	ETNK1 Gene	This gene plays a role in phospholipid biosynthesis.
ERG	ERG Gene	This gene plays a regulatory role in transcription, cellular maintenance and hematopoiesis.
ERCC5	ERCC5 Gene	This gene plays a role in the nucleotide base excision repair of UV-induced DNA damage and mutations of the gene cause Cockayne syndrome.
ERCC4	ERCC4 Gene	This gene is involved in nucleotide excision repair and is involved in the correction of defective nucleotide excision repair in xeroderma pigmentosum cells of complementation group F.
ERCC3	ERCC3 Gene	This gene is involved in DNA excision repair and transcription.
ERCC2	ERCC2 Gene	This gene is involved in nucleotide excision repair and corrects sensitivity to UV radiation and defective nucleotide excision repair in xeroderma pigmentosum cells of complementation group D.
ERC1	ERC1 Gene	This gene plays a role in signaling.
ERBB4	ERBB4 Gene	This gene is involved in neuronal development and plays a role in receptor tyrosine kinase signal transduction that regulates cellular proliferation and differentiation.
IGK	Immunoglobulin Kappa Locus	This region represents the germline organization of the kappa light chain locus. The locus includes V (variable), J (joining), and C (constant) segments. During B cell development, a recombination event at the DNA level joins a single V segment with a J segment; the C segment is later joined by splicing at the RNA level. Recombination of many different V segments with several J segments provides a wide range of antigen recognition. Additional diversity is attained by junctional diversity, resulting from the random additional of nucleotides by terminal deoxynucleotidyltransferase, and by somatic hypermutation, which occurs during B cell maturation in the spleen and lymph nodes. (from LocusLink)
IGH	Immunoglobulin Heavy Locus	This region represents the germline organization of the immunoglobulin heavy chain locus. The locus includes V (variable), J (joining), diversity (D), and C (constant) segments. During B cell development, a recombination event at the DNA level joins a D segment with a J segment; a V segment is then joined to the D-J gene. The C segment is later joined by splicing at the RNA level. Recombination of many different V segments with several D and J segments provides a wide range of antigen recognition. Additional diversity is attained by junctional diversity, resulting from the random additional of nucleotides by terminal deoxynucleotidyltransferase, and by somatic hypermutation, which occurs during B cell maturation in the spleen and lymph nodes. (from LocusLink)
IDH2	IDH2 Gene	This gene plays a role in intermediary metabolism.
IDH1	IDH1 Gene	This gene plays a role in carbohydrate metabolism.
ID3	ID3 Gene	This gene plays a role in transcriptional repression.
HSP90AB1	HSP90AB1 Gene	This gene plays a role in both interferon signaling and protein folding.
HSP90AA1	HSP90AA1 Gene	This gene is involved in both protein folding and nitric oxide metabolism.
HRAS	HRAS Gene	This gene plays a role in signal transduction and cellular communication.
HOXD13	HOXD13 Gene	This gene plays a role in the development of limbs and appendages.
HOXD11	HOXD11 Gene	This gene is involved in limb morphogenesis.
HOXC13	HOXC13 Gene	This gene plays a role in the modulation of transcription.
HOXC11	HOXC11 Gene	This gene is involved in embryological development.
HOXA9	HOXA9 Gene	This gene plays a role in transcriptional regulation, morphogenesis and differentiation.
HOXA13	HOXA13 Gene	This gene plays a role in transcriptional modulation.
HOXA11	HOXA11 Gene	This gene is involved in embryologic pattern formation.
HOOK3	HOOK3 Gene	This gene plays a role in endocytosis and Golgi maintenance.
HNRNPA2B1	HNRNPA2B1 Gene	This gene is involved in RNA processing and transport.
HNF1A	HNF1A Gene	This gene plays a role in both DNA binding and transcriptional modulation.
HMGN2P46	HMGN2P46 Gene	This gene may be involved in prostate functions.
HMGA2	HMGA2 Gene	This gene is involved in chromatin organization and regulation of gene transcription. It also plays a role in development.
HMGA1	HMGA1 Gene	This gene plays a role in a number of cellular processes including apoptosis, chromatin organization and transcriptional regulation.
HLF	HLF Gene	This gene is involved in both transcriptional regulation and DNA binding.
HIST1H4I	HIST1H4I Gene	This gene plays a role in nucleosomal structure.
HIST1H3B	HIST1H3B Gene	This gene is involved in chromatin structure.
HIP1	HIP1 Gene	This gene plays a role in both vesicle coat formation and endocytosis.
HIF1A	HIF1A Gene	This gene plays a role in cardiovascular development and systemic oxygen homeostasis.
HEY1	HEY1 Gene	This gene is involved in both transcription factor binding and transcriptional repression.
HERPUD1	HERPUD1 Gene	This gene is involved in the response to endoplasmic reticulum stress.
H3F3B	H3F3B Gene	This gene plays a role in nucleosome assembly.
H3F3A	H3F3A Gene	This gene is involved in chromatin structure.
GRM3	GRM3 Gene	This gene is involved in ligand-depending signaling.
GRIN2A	GRIN2A Gene	This gene is involved in the regulation of ion transport.
GPHN	GPHN Gene	This gene is involved in vitamin metabolism.
GPC3	GPC3 Gene	This gene is involved in heparin sulfate binding.
GOPC	GOPC Gene	This gene plays a role in protein transport.
GOLGA5	GOLGA5 Gene	This gene is involved in Golgi maintenance.
GNAS	GNAS Gene	This gene plays a role in signal transduction and is associated with pituitary tumors.
GNAQ	GNAQ Gene	This gene plays a role in signal transduction and is involved in calcium signaling.
RMI2	RMI2 Gene	This gene is involved in DNA replication.
RHOH	RHOH Gene	This gene plays a role in signal transduction in hematopoietic cells.
RHOA	RHOA Gene	This gene plays a role in signal transduction. It is involved in several cellular functions including cell differentiation and cytoskeletal remodeling.
RGS7	RGS7 Gene	This gene plays a role in the inhibition of both G protein-coupled receptor signaling and signal transduction.
RGPD3	RGPD3 Gene	This gene may play a role in the localization of the GTPase Ran.
RET	RET Gene	This gene plays an essential role in neural crest development, cellular growth and differentiation. Mutations in the gene are associated with a variety of neoplasias and carcinomas.
REL	REL Gene	This gene is involved in transcriptional regulation and signal transduction through the nuclear factor kappa B NFKB signal transduction pathway.
RECQL4	RECQL4 Gene	This gene is involved in the initiation of DNA replication and sister-chromatid cohesion.
RBM15	RBM15 Gene	This gene plays a role in RNA binding.
RBM10	RBM10 Gene	This gene is involved in RNA binding and processing.
RB1	RB1 Gene	This gene is involved in the regulation of cell differentiation, growth and proliferation.
RARA	RARA Gene	This gene plays a role in transcription and retinoic acid receptor signal transduction.
RAP1GDS1	RAP1GDS1 Gene	This gene is involved in guanine nucleotide exchange.
RANBP2	RANBP2 Gene	This gene is involved in both SUMOylation and nuclear transport.
RALGDS	RALGDS Gene	This gene plays a role in signal transduction and cytoskeletal remodeling. It is also involved in regulation of cell growth.
RAF1	RAF1 Gene	This gene is involved in cell growth, proliferation, differentiation and migration. It also plays a role in apoptosis.
RAD51B	RAD51L1 Gene	This gene plays a role in the mediation of homologous recombinational repair of DNA.
RAC1	RAC1 Gene	This gene is involved in both cell motility and signal transduction.
RABEP1	RABEP1 Gene	This gene is involved in the regulation of both GTPase activity and endocytosis.
QKI	QKI Gene	This gene is involved in both the biosynthesis and maintenance of mRNA.
PWWP2A	PWWP2A Gene	This gene may play a role in protein-protein or protein-DNA interactions.
PTPRT	PTPRT Gene	This gene plays a role in the control of motor axon guidance.
PTPRK	PTPRK Gene	This gene is involved in receptor signaling, cell-cell contact and cell migration.
GMPS	GMPS Gene	This gene plays a role in nucleotide biosynthesis.
GATA3	GATA3 Gene	This gene plays a role in the modulation of transcription.
GATA2	GATA2 Gene Immunodeficiency Syndrome	This gene is involved in both DNA binding and transcriptional regulation.: A deficiency of immune response or a disorder characterized by deficient immune response.
GATA1	GATA1 Gene	This gene is involved in erythropoiesis and transcriptional activation.
GAS7	GAS7 Gene	This gene may play a role in neuronal development.
FUS	FUS Gene	This gene is involved in gene expression, genomic integrity and RNA processing.
FUBP1	FUBP1 Gene	This gene plays a role in transcriptional modulation.
FSTL3	FSTL3 Gene	This gene plays a role in a variety of processes including transcription.
FOXR1	FOXR1 Gene	This gene plays a role in DNA binding and transcriptional regulation.
FOXP1	FOXP1 Gene	This gene is involved in transcriptional modulation.
FOXO4	FOXO4 Gene	This gene plays a role in smooth muscle cell differentiation, cellular growth, cell cycle regulation and tumor suppression.
FOXO3	FOXO3 Gene	This gene is involved in transcriptional regulation and apoptosis.
FOXO1	FOXO1 Gene	This gene is involved in transcriptional regulation and may play a role in myogenic growth and differentiation.
FOXL2	FOXL2 Gene	This gene plays a role in ovarian function.
FOXA1	FOXA1 Gene	This gene plays a role in the modulation of gene expression.
FNBP1	FNBP1 Gene	This gene plays a role in endocytosis.
FLT4	FLT4 Gene	This gene plays an essential role in the development of embryonic cardiovasculature and lymphatic vessel formation.
FLNA	FLNA Gene	This gene is involved in remodeling of the cytoskeleton.
FLI1	FLI1 Gene	This gene plays a role in transcriptional activation and has been implicated in the pathogenesis of neuroepithelioma.
FLCN	FLCN Gene	This gene may play a role in tumor suppression.
FKBP9	FKBP9 Gene	This gene is involved in chaperone-mediated protein folding.
BCR	BCR Gene	This gene plays a role in signal transduction.
PLAG1	PLAG1 Gene	This gene is involved in cellular proliferation.
PIK3CB	PIK3CB Gene	This gene is involved in apoptosis, cell growth and angiogenesis.
PICALM	PICALM Gene	This gene plays a role in receptor mediated endocytosis.
PHOX2B	PHOX2B Gene	This gene plays a role in the regulation of transcription.
PHF6	PHF6 Gene	This gene plays a role in transcriptional regulation.
PER1	PER1 Gene	This gene is involved in circadian rhythm.
PDGFRB	PDGFRB Gene	This gene plays a role in mitogenic activities affecting mesenchymal cells and a translocation in the gene results in chronic myelomonocytic leukemia.
PDGFRA	PDGFRA gene	This gene plays a role in mitogenic activities affecting mesenchymal cells and is involved in receptor tyrosine kinase signal transduction.
PDGFB	PDGFB Gene	This gene is involved in cellular growth and proliferation. It is also plays a role in intercellular signaling.
PDE4DIP	PDE4DIP Gene	This gene plays a role in protein complex localization.
PDCD1LG2	PDCD1LG2 Gene	This gene plays a role in the regulation of T-cell proliferation.
PCM1	PCM1 Gene	This gene is involved in centrosome formation.
PCBP1	PCBP1 Gene	This gene plays a role in RNA splicing.
PBX1	PBX1 Gene	This gene plays a role in the modulation of transcription.
PBRM1	PBRM1 Gene	This gene plays a role in chromatin remodeling.
PAX8	PAX8 Gene	This gene is involved in thyroid development and transcriptional regulation.
PAX7	PAX7 Gene	This gene plays a role in the transcriptional regulation of target genes. It is involved in pattern formation during embryogenesis.
PAX5	PAX5 Gene	This gene is involved in the transcriptional regulation of target genes. It plays a role in B-cell differentiation, neural development and spermatogenesis.
PAX3	PAX3 Gene	This gene plays a role in the transcriptional activation of target genes. It is involved in melanogenesis, neurogenesis and skeletal muscle development.
PALB2	PALB2 Gene	This gene may play a role in the repair of DNA damage that is resolved by recombination.
PAFAH1B2	PAFAH1B2 Gene	This gene is involved in lipid metabolism.
PABPC1	PABPC1 Gene	This gene is involved in binding to poly(A)RNA.
P2RY8	P2RY8 Gene	This gene plays a role in signaling.
OMD	OMD Gene	This gene is involved in cell adhesion.
NUTM2B	NUTM2B Gene	The function of this gene is unknown.
NUTM2A	NUTM2A Gene	This gene has an unknown function.
NUTM1	NUTM1 Gene	This gene may be involved in testicular function.
NUP98	NUP98 Gene	This gene plays a role in transport and is frequently overexpressed in prostate cancers.
NUP214	NUP214 Gene	This gene plays a critical role in nuclear transport and docking regulation. Alterations in the gene have been associated with several cancers and leukemias.
NUMA1	NUMA1 Gene	This gene plays an essential role in normal mitosis. It is also involved in cell organization/biogenesis.
NTRK3	NTRK3 Gene	This gene plays a role in neuronal development and cellular differentiation. Mutations in the gene are associated with medulloblastomas, secretory breast carcinomas and other cancers.
NTRK1	NTRK1 Gene	This gene is involved in cellular differentiation and neurotrophic functions.
NTHL1	NTHL1 Gene	This gene plays a role in nucleotide-excision DNA repair.
NSD1	NSD1 Gene	This gene is involved in the mediation of histone methylation.
